County_Name,State_Abbr,Median_Income
Baca County,CO,40380
Bent County,CO,49194
Boulder County,CO,102772
Broomfield County,CO,121025
Chaffee County,CO,70909
Cheyenne County,CO,67768
Clear Creek County,CO,96667
Conejos County,CO,47209
Costilla County,CO,36519
Crowley County,CO,47563
Custer County,CO,72700
Delta County,CO,58330
Denver County,CO,91681
Dolores County,CO,70490
Douglas County,CO,145737
Eagle County,CO,103174
Elbert County,CO,129477
El Paso County,CO,87470
Fremont County,CO,61027
Garfield County,CO,86172
Gilpin County,CO,88654
Grand County,CO,84558
Gunnison County,CO,77358
Hinsdale County,CO,64327
Huerfano County,CO,52139
Jackson County,CO,41809
Jefferson County,CO,107800
Kiowa County,CO,56389
Kit Carson County,CO,59810
Lake County,CO,93655
La Plata County,CO,85296
Larimer County,CO,91364
Las Animas County,CO,50408
Lincoln County,CO,54257
Logan County,CO,55074
Mesa County,CO,71485
Mineral County,CO,52455
Moffat County,CO,70975
Montezuma County,CO,63005
Montrose County,CO,66072
Morgan County,CO,75407
Otero County,CO,54897
Ouray County,CO,84556
Park County,CO,95450
Phillips County,CO,60372
Pitkin County,CO,100318
Prowers County,CO,57601
Pueblo County,CO,62250
Rio Blanco County,CO,72620
Rio Grande County,CO,62166
Routt County,CO,104803
Saguache County,CO,54283
San Juan County,CO,73889
San Miguel County,CO,80117
Sedgwick County,CO,52833
Summit County,CO,106255
Teller County,CO,80666
Washington County,CO,65164
Weld County,CO,93287
Yuma County,CO,60051
Capitol Planning Region,CT,91541
Greater Bridgeport Planning Region,CT,87135
Lower Connecticut River Valley Planning Region,CT,101117
Naugatuck Valley Planning Region,CT,86365
Northeastern Connecticut Planning Region,CT,87564
Northwest Hills Planning Region,CT,91035
South Central Connecticut Planning Region,CT,86266
Southeastern Connecticut Planning Region,CT,84185
Western Connecticut Planning Region,CT,124553
Kent County,DE,72872
New Castle County,DE,89901
Sussex County,DE,78162
District of Columbia,DC,106287
Alachua County,FL,59659
Baker County,FL,70833
Bay County,FL,70188
Bradford County,FL,59740
Brevard County,FL,75817
Broward County,FL,74534
Calhoun County,FL,46901
Charlotte County,FL,66154
Citrus County,FL,55355
Clay County,FL,86094
Collier County,FL,86173
Columbia County,FL,55070
DeSoto County,FL,50868
Dixie County,FL,47655
Duval County,FL,68447
Escambia County,FL,65715
Flagler County,FL,72923
Franklin County,FL,62734
