,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
125,Bandera County,Texas,261894,122986,123944,14964
126,Banks County,Georgia,228826,107696,103974,17156
127,Banner County,Nebraska,8068,3898,3904,266
128,Bannock County,Idaho,1068586,482018,479814,106754
129,Baraga County,Michigan,98214,37716,34456,26042
130,Barber County,Kansas,49628,23838,23112,2678
131,Barbour County,Alabama,296884,77752,69668,149464
132,Barbour County,West Virginia,185154,87420,89932,7802
133,Barnes County,North Dakota,129408,61508,59220,8680
134,Barnstable County,Massachusetts,2774812,1216002,1326536,232274
135,Barnwell County,South Carolina,246396,64758,65792,115846
136,Barren County,Kentucky,538352,241098,255558,41696
137,Barron County,Wisconsin,561386,267396,264812,29178
138,Barrow County,Georgia,1065912,407488,415200,243224
139,Barry County,Michigan,758944,368976,360178,29790
140,Barry County,Missouri,419384,196014,192806,30564
141,Bartholomew County,Indiana,999772,431342,435676,132754
142,Barton County,Kansas,301966,141644,143436,16886
143,Barton County,Missouri,140172,66122,65816,8234
144,Bartow County,Georgia,1348928,562818,569474,216636
145,Bastrop County,Texas,1260284,560158,540158,159968
146,Bates County,Missouri,193930,91968,91802,10160
147,Bath County,Kentucky,154004,74478,73910,5616
148,Bath County,Virginia,49414,23476,22770,3168
149,Baxter County,Arkansas,507346,237648,249816,19882
150,Bay County,Florida,2214346,897726,901380,415240
151,Bay County,Michigan,1237796,576068,590474,71254
152,Bayfield County,Wisconsin,198188,87244,83476,27468
153,Baylor County,Texas,41782,19180,19142,3460
154,Beadle County,South Dakota,231396,95512,93352,42532
155,Bear Lake County,Idaho,79238,38384,38126,2728
156,Beaufort County,North Carolina,534290,188874,197870,147546
157,Beaufort County,South Carolina,2327082,917288,921392,488402
158,Beauregard Parish,Louisiana,439872,186298,181528,72046
159,Beaver County,Oklahoma,60380,28188,26762,5430
160,Beaver County,Pennsylvania,1999682,883552,916716,199414
161,Beaver County,Utah,86880,42894,38416,5570
