county_name,state_name,median_income
Plumas County,California,64946
Riverside County,California,89672
Sacramento County,California,88724
San Benito County,California,108289
San Bernardino County,California,82184
San Diego County,California,102285
San Francisco County,California,141446
San Joaquin County,California,88531
San Luis Obispo County,California,93398
San Mateo County,California,156000
Santa Barbara County,California,95977
Santa Clara County,California,159674
Santa Cruz County,California,109266
Shasta County,California,71931
Sierra County,California,60000
Siskiyou County,California,55499
Solano County,California,99994
Sonoma County,California,102840
Stanislaus County,California,79661
Sutter County,California,75450
Tehama County,California,61834
Trinity County,California,53498
Tulare County,California,69489
Tuolumne County,California,72259
Ventura County,California,107327
Yolo County,California,88818
Yuba County,California,73313
Adams County,Colorado,91387
Alamosa County,Colorado,51445
Arapahoe County,Colorado,97215
Archuleta County,Colorado,76524
Baca County,Colorado,40380
Bent County,Colorado,49194
Boulder County,Colorado,102772
Broomfield County,Colorado,121025
Chaffee County,Colorado,70909
Cheyenne County,Colorado,67768
Clear Creek County,Colorado,96667
Conejos County,Colorado,47209
Costilla County,Colorado,36519
Crowley County,Colorado,47563
Custer County,Colorado,72700
Delta County,Colorado,58330
Denver County,Colorado,91681
Dolores County,Colorado,70490
Douglas County,Colorado,145737
Eagle County,Colorado,103174
Elbert County,Colorado,129477
El Paso County,Colorado,87470
Fremont County,Colorado,61027
Garfield County,Colorado,86172
Gilpin County,Colorado,88654
Grand County,Colorado,84558
Gunnison County,Colorado,77358
Hinsdale County,Colorado,64327
Huerfano County,Colorado,52139
Jackson County,Colorado,41809
Jefferson County,Colorado,107800
Kiowa County,Colorado,56389
Kit Carson County,Colorado,59810
Lake County,Colorado,93655
La Plata County,Colorado,85296
Larimer County,Colorado,91364
Las Animas County,Colorado,50408
Lincoln County,Colorado,54257
Logan County,Colorado,55074
Mesa County,Colorado,71485
Mineral County,Colorado,52455
Moffat County,Colorado,70975
Montezuma County,Colorado,63005
Montrose County,Colorado,66072
Morgan County,Colorado,75407
Otero County,Colorado,54897
Ouray County,Colorado,84556
Park County,Colorado,95450
Phillips County,Colorado,60372
Pitkin County,Colorado,100318
Prowers County,Colorado,57601
Pueblo County,Colorado,62250
Rio Blanco County,Colorado,72620
Rio Grande County,Colorado,62166
Routt County,Colorado,104803
Saguache County,Colorado,54283
San Juan County,Colorado,73889
San Miguel County,Colorado,80117
Sedgwick County,Colorado,52833
Summit County,Colorado,106255
Teller County,Colorado,80666
Washington County,Colorado,65164
Weld County,Colorado,93287
Yuma County,Colorado,60051
Capitol Planning Region,Connecticut,91541
Greater Bridgeport Planning Region,Connecticut,87135
Lower Connecticut River Valley Planning Region,Connecticut,101117
Naugatuck Valley Planning Region,Connecticut,86365
Northeastern Connecticut Planning Region,Connecticut,87564
Northwest Hills Planning Region,Connecticut,91035
South Central Connecticut Planning Region,Connecticut,86266
Southeastern Connecticut Planning Region,Connecticut,84185
Western Connecticut Planning Region,Connecticut,124553
Kent County,Delaware,72872
New Castle County,Delaware,89901
Sussex County,Delaware,78162
District of Columbia,District of Columbia,106287
Alachua County,Florida,59659
Baker County,Florida,70833
Bay County,Florida,70188
Bradford County,Florida,59740
Brevard County,Florida,75817
Broward County,Florida,74534
Calhoun County,Florida,46901
Charlotte County,Florida,66154
Citrus County,Florida,55355
Clay County,Florida,86094
Collier County,Florida,86173
Columbia County,Florida,55070
DeSoto County,Florida,50868
Dixie County,Florida,47655
Duval County,Florida,68447
Escambia County,Florida,65715
Flagler County,Florida,72923
Franklin County,Florida,62734
Gadsden County,Florida,46047
Gilchrist County,Florida,61070
Glades County,Florida,38905
Gulf County,Florida,67361
Hamilton County,Florida,47696
Hardee County,Florida,54231
Hendry County,Florida,53044
Hernando County,Florida,63193
Highlands County,Florida,55581
Hillsborough County,Florida,75011
Holmes County,Florida,48236
