county_name,state_name,state,is_desert
Goshen County,Wyoming,WY,False
Pope County,Arkansas,AR,False
Pulaski County,Indiana,IN,False
Madison County,Indiana,IN,False
Greene County,Indiana,IN,False
Jasper County,Indiana,IN,False
Howard County,Missouri,MO,False
Greene County,Missouri,MO,False
Wayne County,Missouri,MO,False
Adams County,Ohio,OH,False
Jefferson County,Ohio,OH,False
Yell County,Arkansas,AR,False
Hot Spring County,Arkansas,AR,False
Parke County,Indiana,IN,False
Orange County,Indiana,IN,False
Cedar County,Iowa,IA,False
Dallas County,Iowa,IA,False
Monroe County,Indiana,IN,False
Adair County,Iowa,IA,False
Chickasaw County,Iowa,IA,False
Sheridan County,Kansas,KS,True
Ellis County,Kansas,KS,False
Orange County,Vermont,VT,False
Chittenden County,Vermont,VT,False
Mingo County,West Virginia,WV,False
Colquitt County,Georgia,GA,False
Pulaski County,Georgia,GA,False
Randolph County,Georgia,GA,False
Grundy County,Illinois,IL,False
Moultrie County,Illinois,IL,False
Noble County,Indiana,IN,False
Carroll County,Indiana,IN,False
Osage County,Kansas,KS,False
Graham County,Kansas,KS,False
Mitchell County,Kansas,KS,True
Pawnee County,Kansas,KS,False
