county_name,state,mobility_rate
Monroe County,NY,0.2462
Clackamas County,OR,0.2461
Pike County,PA,0.246
Minnehaha County,SD,0.2458
Calhoun County,TX,0.2456
Canadian County,OK,0.2455
Gillespie County,TX,0.2453
Scurry County,TX,0.2448
Washington County,TX,0.2448
Panola County,TX,0.2447
Duchesne County,UT,0.2443
Jack County,TX,0.2441
Elk County,PA,0.2437
Ontario County,NY,0.2436
Lee County,TX,0.2435
York County,PA,0.2431
Armstrong County,PA,0.2423
DeWitt County,TX,0.2421
Auglaize County,OH,0.2418
Washington County,OK,0.2412
Clay County,SD,0.2407
Warren County,NY,0.2406
Codington County,SD,0.2396
Lake County,OH,0.2395
Providence County,RI,0.2392
Jackson County,TX,0.2391
Medina County,OH,0.2383
Galveston County,TX,0.238
Davis County,UT,0.2379
Refugio County,TX,0.2377
Freestone County,TX,0.2357
Hockley County,TX,0.2355
Colorado County,TX,0.2354
Clarion County,PA,0.2352
Comal County,TX,0.2349
Wise County,TX,0.234
Carbon County,UT,0.2336
Schuylkill County,PA,0.2335
Parker County,TX,0.2332
Washington County,VT,0.2331
Oneida County,NY,0.232
Mitchell County,TX,0.2314
Victoria County,TX,0.2313
Tompkins County,NY,0.2309
Cleveland County,OK,0.2307
Carbon County,PA,0.2302
Jefferson County,OK,0.2295
Lancaster County,PA,0.2292
Adams County,PA,0.2287
Wasatch County,UT,0.2286
Hamilton County,OH,0.2285
Belmont County,OH,0.2273
Beadle County,SD,0.2264
Windsor County,VT,0.2263
Utah County,UT,0.226
Moody County,SD,0.2258
Columbia County,PA,0.2257
Young County,TX,0.2256
Lebanon County,PA,0.2253
Burleson County,TX,0.2248
Matagorda County,TX,0.2246
Lawrence County,PA,0.2245
Roberts County,SD,0.224
Potter County,PA,0.2238
Pecos County,TX,0.2229
Blaine County,OK,0.2227
Harris County,TX,0.2227
Custer County,SD,0.2222
Clay County,TX,0.2222
Bradford County,PA,0.2219
Cooke County,TX,0.2219
Ottawa County,OH,0.2214
Stephens County,OK,0.2212
Fairfield County,OH,0.221
Union County,PA,0.2208
Wilson County,TX,0.2208
Salt Lake County,UT,0.2208
Rutland County,VT,0.2206
Butler County,OH,0.2205
Hood County,TX,0.2197
Madison County,NY,0.2192
Fayette County,PA,0.2191
Brazos County,TX,0.2189
Fall River County,SD,0.2185
Payne County,OK,0.2183
Hamilton County,TX,0.2178
Hancock County,OH,0.2177
Bon Homme County,SD,0.2177
Dauphin County,PA,0.2175
Montague County,TX,0.2175
Monroe County,PA,0.2173
Butte County,SD,0.2169
Liberty County,TX,0.2163
Livingston County,NY,0.2155
Howard County,TX,0.2146
Waller County,TX,0.2145
Greene County,OH,0.2144
Texas County,OK,0.2144
Jefferson County,TX,0.2139
Zapata County,TX,0.213
Union County,OH,0.2125
Mercer County,PA,0.2123
Lewis County,NY,0.2122
Wayne County,PA,0.2121
Moore County,TN,0.2118
Erie County,PA,0.2114
Henry County,OH,0.2113
Tarrant County,TX,0.2112
Sullivan County,NY,0.2111
Tulsa County,OK,0.211
Niagara County,NY,0.2107
Brewster County,TX,0.2106
Otsego County,NY,0.2105
Hays County,TX,0.2103
Wharton County,TX,0.2098
Shelby County,OH,0.2095
Seneca County,NY,0.2088
St. Lawrence County,NY,0.2083
Oswego County,NY,0.2081
Miami County,OH,0.208
Gregg County,TX,0.208
Montgomery County,NY,0.2079
Garfield County,OK,0.2078
Ellis County,TX,0.2076
Clermont County,OH,0.2074
Morrow County,OR,0.2074
Pennington County,SD,0.2073
Cuyahoga County,OH,0.2071
McClain County,OK,0.2071
Franklin County,PA,0.2065
Perry County,PA,0.2064
Charles Mix County,SD,0.2063
Rogers County,OK,0.2059
McKean County,PA,0.2059
Travis County,TX,0.2057
Steuben County,NY,0.2055
Tioga County,NY,0.2053
Mahoning County,OH,0.2051
Monroe County,OH,0.205
Grady County,OK,0.205
Lycoming County,PA,0.205
Blair County,PA,0.2049
Karnes County,TX,0.2048
Millard County,UT,0.2046
Somerset County,PA,0.2043
Susquehanna County,PA,0.2042
Cache County,UT,0.2042
Moore County,TX,0.2041
Callahan County,TX,0.203
Northumberland County,PA,0.2029
Summit County,OH,0.2027
Wyoming County,NY,0.2026
Kay County,OK,0.202
Crawford County,PA,0.202
Addison County,VT,0.2019
Tioga County,PA,0.2018
Duval County,TX,0.2012
Herkimer County,NY,0.201
Mecklenburg County,NC,0.2009
Franklin County,VT,0.2008
Jefferson County,PA,0.2003
Defiance County,OH,0.2
Noble County,OK,0.1999
Erath County,TX,0.1997
Erie County,OH,0.1996
San Juan County,UT,0.199
San Patricio County,TX,0.1987
Fulton County,OH,0.1985
Logan County,OK,0.1985
Johnson County,TX,0.1984
Lake County,OR,0.1981
Jim Wells County,TX,0.1973
Clearfield County,PA,0.1972
Aransas County,TX,0.1972
Schoharie County,NY,0.1968
Washington County,OH,0.1965
Murray County,OK,0.1962
Bennington County,VT,0.1961
Box Elder County,UT,0.1959
Jefferson County,NY,0.1958
Eastland County,TX,0.1957
Wayne County,NY,0.1953
Jefferson County,OH,0.1953
Reeves County,TX,0.1952
Van Wert County,OH,0.1951
Parmer County,TX,0.1943
Walker County,TX,0.1934
Washington County,NY,0.1932
Franklin County,OH,0.1931
Stark County,OH,0.1929
Milam County,TX,0.1929
Smith County,TX,0.1917
Paulding County,OH,0.1914
Tuscarawas County,OH,0.1914
Lexington County,SC,0.1913
Wagoner County,OK,0.1912
Lane County,OR,0.1912
Windham County,VT,0.191
Deschutes County,OR,0.1907
Davie County,NC,0.1904
Kerr County,TX,0.1903
Portage County,OH,0.1901
Sumner County,TN,0.1898
Wilson County,TN,0.1898
Johnston County,OK,0.1897
Multnomah County,OR,0.1897
Wyandot County,OH,0.1895
Rusk County,TX,0.1895
Snyder County,PA,0.1893
Pontotoc County,OK,0.189
Lucas County,OH,0.1889
Noble County,OH,0.1888
Wichita County,TX,0.1886
Harrison County,OH,0.1883
Meade County,SD,0.1883
Kleberg County,TX,0.1881
Washington County,UT,0.1877
Darke County,OH,0.1876
Weber County,UT,0.1876
Latimer County,OK,0.1874
Klamath County,OR,0.1872
Newton County,TX,0.1869
Columbia County,OR,0.1867
Terry County,TX,0.1867
Taylor County,TX,0.1865
Wood County,TX,0.1861
New York County,NY,0.1859
Burnet County,TX,0.1859
Seneca County,OH,0.1856
Polk County,OR,0.1856
Clinton County,PA,0.1853
Bailey County,TX,0.1853
Allen County,OH,0.1847
Huntingdon County,PA,0.1847
Warren County,PA,0.1845
Lubbock County,TX,0.1844
Oklahoma County,OK,0.1843
Tooele County,UT,0.1843
Love County,OK,0.184
Medina County,TX,0.184
Sanpete County,UT,0.1836
Sevier County,UT,0.1836
New Hanover County,NC,0.1833
Bedford County,PA,0.1833
Dawson County,TX,0.1828
Wasco County,OR,0.1826
Venango County,PA,0.1822
Rains County,TX,0.1821
Carter County,OK,0.182
Juniata County,PA,0.182
Sandusky County,OH,0.1818
Clatsop County,OR,0.1818
Grand County,UT,0.1817
Comanche County,TX,0.1812
Orange County,VT,0.1812
Atascosa County,TX,0.1811
Bandera County,TX,0.1811
Forsyth County,NC,0.1806
Ashland County,OH,0.1802
Floyd County,TX,0.1801
Yamhill County,OR,0.1798
Creek County,OK,0.1797
Greenville County,SC,0.1797
Wayne County,OH,0.1793
Trumbull County,OH,0.1792
Bosque County,TX,0.1789
Sabine County,TX,0.1788
Watauga County,NC,0.178
Iron County,UT,0.1779
Upshur County,TX,0.1778
Garvin County,OK,0.1777
Llano County,TX,0.1777
Union County,NC,0.1776
Knox County,TN,0.1776
Coleman County,TX,0.1776
Greer County,OK,0.1775
Guilford County,NC,0.1774
Grayson County,TX,0.1773
Nueces County,TX,0.1773
Brown County,TX,0.1772
Yates County,NY,0.1768
Guadalupe County,TX,0.1767
Marion County,OR,0.1766
Wallowa County,OR,0.1764
Fulton County,PA,0.1763
Juab County,UT,0.1762
Union County,OR,0.1757
Van Zandt County,TX,0.1757
Humphreys County,TN,0.1755
Childress County,TX,0.1754
Beaufort County,SC,0.1753
Moore County,NC,0.1752
Lorain County,OH,0.1752
Haskell County,TX,0.1752
Pickaway County,OH,0.1751
Jasper County,TX,0.175
Nowata County,OK,0.1748
Grant County,OR,0.1748
Kaufman County,TX,0.1743
Aiken County,SC,0.1742
Runnels County,TX,0.1742
Williams County,OH,0.1741
Harney County,OR,0.174
Lamoille County,VT,0.1736
Knox County,OH,0.1734
Brooks County,TX,0.1732
Umatilla County,OR,0.1731
Tom Green County,TX,0.1729
Cabarrus County,NC,0.1725
Caledonia County,VT,0.1723
Durham County,NC,0.1721
Shelby County,TX,0.1715
Montgomery County,OH,0.1712
Kings County,NY,0.1711
Dallas County,TX,0.171
Palo Pinto County,TX,0.1707
Hopkins County,TX,0.1703
Harrison County,TX,0.1701
Hill County,TX,0.1701
Limestone County,TX,0.17
Linn County,OR,0.1699
Hood River County,OR,0.1698
Jackson County,OR,0.1698
Franklin County,TX,0.1697
Orleans County,NY,0.1696
Pitt County,NC,0.1696
Columbiana County,OH,0.1696
Athens County,OH,0.1691
Dorchester County,SC,0.1688
Mifflin County,PA,0.1686
Polk County,TX,0.1685
Angelina County,TX,0.1683
Hunt County,TX,0.1683
Baker County,OR,0.168
Tyler County,TX,0.1674
Hamilton County,TN,0.1672
Huron County,OH,0.1671
Hardeman County,TX,0.1671
Sullivan County,TN,0.167
Henderson County,NC,0.1663
Pawnee County,OK,0.1661
Anderson County,TX,0.1661
Henderson County,TX,0.166
Carteret County,NC,0.1659
Logan County,OH,0.1654
Licking County,OH,0.1653
Pamlico County,NC,0.165
Stanly County,NC,0.165
Bowie County,TX,0.1649
Pittsburg County,OK,0.1648
Lampasas County,TX,0.1646
Lamb County,TX,0.1644
Curry County,OR,0.1643
Kane County,UT,0.1642
Marion County,OH,0.1641
McLennan County,TX,0.1637
San Saba County,TX,0.1637
Osage County,OK,0.1631
Crawford County,OH,0.163
Rutherford County,TN,0.163
Nacogdoches County,TX,0.1628
Jackson County,OK,0.1626
Cass County,TX,0.1626
Lincoln County,TN,0.1625
Grimes County,TX,0.1625
Camden County,NC,0.1624
Alamance County,NC,0.1623
Bee County,TX,0.1623
Dare County,NC,0.162
Philadelphia County,PA,0.1619
Cameron County,PA,0.1616
Lincoln County,OK,0.1615
Mayes County,OK,0.1614
Orleans County,VT,0.1614
Carroll County,OH,0.1611
Wilbarger County,TX,0.1611
Stephens County,TX,0.161
Dallam County,TX,0.1608
Morris County,TX,0.1608
Bryan County,OK,0.1607
Crosby County,TX,0.1606
Hardin County,OH,0.1605
Muskingum County,OH,0.1605
Lincoln County,OR,0.1604
Yadkin County,NC,0.1598
York County,SC,0.1597
Catawba County,NC,0.159
Schuyler County,NY,0.1586
Le Flore County,OK,0.1586
Buncombe County,NC,0.1582
Richland County,OH,0.1582
Navarro County,TX,0.1579
San Jacinto County,TX,0.1579
Tillamook County,OR,0.157
Douglas County,OR,0.1567
Roane County,TN,0.1567
Crook County,OR,0.1565
Coos County,OR,0.1555
Lincoln County,NC,0.1553
Morrow County,OH,0.1552
Champaign County,OH,0.1551
Kiowa County,OK,0.155
Franklin County,TN,0.1547
Josephine County,OR,0.1546
Chatham County,NC,0.1544
Jim Hogg County,TX,0.1544
Nash County,NC,0.1541
Haskell County,OK,0.1534
Camp County,TX,0.1533
Oconee County,SC,0.1532
Currituck County,NC,0.153
Coal County,OK,0.153
