fips,count,median_earnings,pell_grant_rate,access_score,earnings_score,pell_score,opportunity_score
01003,2,45075.5,0.3469,0.031746031746031744,0.3836137111054895,0.3830186596003092,24.268812391015228
01015,1,45235.0,0.4309,0.015873015873015872,0.3856311662028839,0.4757646019653307,26.476793679967077
01047,2,39261.5,0.18385,0.031746031746031744,0.31007462686567167,0.20299216075963347,16.66184489860042
01073,6,46249.666666666664,0.3841833333333333,0.09523809523809523,0.39846530061556623,0.4241838725111332,28.48899900332479
01077,2,44006.0,0.2974,0.031746031746031744,0.37008601062484187,0.32836480070663576,22.2233656097856
01081,1,65337.0,0.1226,0.015873015873015872,0.6398937515810776,0.1353649111184719,23.892680515907124
01083,1,50273.0,0.4238,0.015873015873015872,0.4493549203136858,0.4679253615987634,28.15332909229411
01087,1,49641.0,0.4767,0.015873015873015872,0.44136099165190995,0.5263332229214972,29.66574707212285
01089,4,47952.0,0.449275,0.06349206349206349,0.41999747027573997,0.4960527768576791,30.021189953685113
01097,3,48163.333333333336,0.3333333333333333,0.047619047619047616,0.4226705455771988,0.3680394538294505,25.62606188696138
01101,6,40292.5,0.5349833333333334,0.09523809523809523,0.3231153554262585,0.5906849214235766,31.22353211501886
01105,1,59644.0,0.4344,0.015873015873015872,0.5678851505185935,0.47962901623053994,32.06034563739464
01109,1,42062.0,0.423,0.015873015873015872,0.34549709081710095,0.46704206690957273,25.01109536672085
01117,1,42957.0,0.3904,0.015873015873015872,0.35681760688085,0.4310478083250525,24.270883091097712
01119,1,44232.0,0.5401,0.015873015873015872,0.3729445990387048,0.5963343270398588,29.71328841727754
01121,1,32229.0,0.7551,0.015873015873015872,0.2211231975714647,0.8337197747598543,32.280209804860206
01125,2,47321.0,0.43095000000000006,0.031746031746031744,0.41201619023526437,0.47581980788340517,27.90492121340136
04001,1,29188.0,0.3895,0.015873015873015872,0.18265874019731848,0.430054101799713,19.01630589483158
04003,1,38033.0,0.3858,0.015873015873015872,0.2945357955982798,0.425968863862206,22.25006041873521
04005,1,54384.0,0.2983,0.015873015873015872,0.5013534024791297,0.3293585072319753,25.556277926253784
04013,7,53748.841269841265,0.2683285714285714,0.1111111111111111,0.4933195202357863,0.2962665026262244,28.13202513030476
04019,2,49604.0,0.2874,0.031746031746031744,0.44089299266379967,0.3173236170917522,24.016339562507827
04025,2,63245.0,0.3234,0.031746031746031744,0.6134328358208955,0.3570718781053329,30.38498268762812
04027,1,36857.0,0.3918,0.015873015873015872,0.2796610169491525,0.43259357403113613,22.002558364329296
05007,3,46020.666666666664,0.31526666666666664,0.047619047619047616,0.39556876633780247,0.34809171543189427,24.214576357852806
05019,2,47566.0,0.3515,0.031746031746031744,0.41511510245383254,0.3880976040631556,25.366222465350912
05027,1,42386.0,0.446,0.015873015873015872,0.3495952441183911,0.49243678922380485,25.895881635186512
05031,1,42617.0,0.3679,0.015873015873015872,0.3525170756387554,0.4062051451915646,23.39658725983023
05045,3,51034.333333333336,0.3431666666666667,0.047619047619047616,0.4589847373302977,0.37889661771741934,27.041202556193415
05051,1,46890.0,0.6111,0.015873015873015872,0.4065646344548444,0.6747267307055317,33.07366158973192
05055,1,39533.0,0.48,0.015873015873015872,0.3135087275486972,0.5299768135144087,25.93948686681381
05063,1,44232.0,0.3596,0.015873015873015872,0.3729445990387048,0.3970409627912112,23.734487489818115
05069,2,54762.5,0.62565,0.031746031746031744,0.5061409056412851,0.6907916528651872,37.177818025035435
05071,1,44384.0,0.3597,0.015873015873015872,0.37486718947634706,0.3971513746273601,23.79547755803185
05075,1,38484.0,0.4715,0.015873015873015872,0.3002403238047053,0.5205918074417577,25.259884572314522
05115,1,41766.0,0.3375,0.015873015873015872,0.34175309891221856,0.37263994700231867,22.066712012356753
05119,7,51899.37142857142,0.5272714285714286,0.1111111111111111,0.4699262766072783,0.5821700657739082,36.00733471588004
05131,1,41102.0,0.3914,0.015873015873015872,0.3333544143688338,0.43215192668654084,23.600110866581876
05143,1,58191.0,0.173,0.015873015873015872,0.5495067037692891,0.19101247653748482,22.85049604412385
05145,2,44739.5,0.26055,0.031746031746031744,0.37936377434859603,0.28767803908579004,21.28109567287285
06001,15,65119.44403669725,0.19695714285714283,0.23809523809523808,0.6371419685896439,0.21746399785485573,35.161988517144515
06007,2,52991.0,0.36834999999999996,0.031746031746031744,0.48373387300784215,0.40670199845423427,27.98291741370356
06013,3,57548.0,0.21843333333333334,0.047619047619047616,0.5413736402732102,0.24117625409443894,25.381258735791377
06017,2,36037.5,0.33820000000000006,0.031746031746031744,0.2692954717935745,0.37341282985536056,20.55109031930932
06019,5,47672.52857142857,0.37044,0.07936507936507936,0.4164625420114922,0.40900960582974494,27.938767609840287
06023,2,41934.5,0.39549999999999996,0.031746031746031744,0.34388439160131545,0.436678811968643,24.68673737694002
06025,1,34487.0,0.5042,0.015873015873015872,0.24968378446749304,0.5566964778624268,24.82632850481823
06029,4,42531.0,0.304825,0.06349206349206349,0.3514292942069314,0.3365628795406868,23.179447752111088
06031,1,40292.0,0.3833,0.015873015873015872,0.3231090311156084,0.42320856795848516,23.024448607143444
06035,1,35994.0,0.1334,0.015873015873015872,0.2687452567670124,0.1472893894225461,13.115960020607389
06037,63,60094.768041773284,0.3332968253968254,1.0,0.5735867447732518,0.3679991447464121,68.24757668558992
06039,1,43228.642857142855,0.1806,0.015873015873015872,0.36025351450977555,0.1994037760847963,17.42463935275779
06041,2,63683.5,0.2321,0.031746031746031744,0.6189792562610675,0.25626587170144643,27.52719510871669
06045,1,40243.0,0.2541,0.015873015873015872,0.32248924867189477,0.2805564756541901,18.72629236470318
06047,2,51091.5,0.46199999999999997,0.031746031746031744,0.4597078168479636,0.5101026830076184,30.36415626550873
06053,4,55512.25,0.23854999999999998,0.06349206349206349,0.5156242094611687,0.26338743513304624,25.910031877508988
06055,2,60000.5,0.2621,0.031746031746031744,0.5723943840121427,0.28938942254609695,27.12335546658846
06059,17,56754.79060982191,0.2792647058823529,0.2698412698412698,0.5313406350850229,0.30834128948034994,35.984108530611984
06061,2,50775.5,0.2711,0.031746031746031744,0.45571085251707566,0.2993264877994921,23.920961479338303
06063,1,38142.0,0.2031,0.015873015873015872,0.29591449532001013,0.22424643921828422,16.239748671069464
06065,11,48694.753246753244,0.26284545454545455,0.1746031746031746,0.42939227481347386,0.2902124925973883,28.57227000645285
06067,6,45014.666666666664,0.3163833333333333,0.09523809523809523,0.38284425330972255,0.3493246476022229,25.774590836882172
06071,9,53753.69113149847,0.4255777777777778,0.14285714285714285,0.493380864299247,0.46988823868585383,34.61235880383874
06073,18,55292.5122324159,0.2797555555555556,0.2857142857142857,0.5128448296536289,0.30888324561726355,36.0804136866982
06075,7,68560.77719528179,0.26454285714285714,0.1111111111111111,0.6806700884806702,0.2920866259720185,33.627145878025104
06077,3,53635.0,0.37579999999999997,0.047619047619047616,0.49187958512522134,0.4149276802473225,29.108979865938217
06079,1,90768.0,0.1832,0.015873015873015872,0.9615608398684543,0.202274483824666,35.54998034571424
06081,5,62191.2,0.155475,0.07936507936507936,0.6001037186946623,0.17166280225240146,26.327598803015086
06083,5,56333.4,0.25406,0.07936507936507936,0.5260106248418922,0.2805123109197306,27.37029124745186
06085,9,72767.11111111111,0.19746666666666668,0.14285714285714285,0.7338744132445119,0.21802657244856652,34.27131528507807
06087,2,56255.0,0.27075,0.031746031746031744,0.5250189729319504,0.29894004637297117,25.988611848988917
06089,3,40833.333333333336,0.44333333333333336,0.047619047619047616,0.3299561514461591,0.4894924735931692,26.488220655941753
06093,1,39098.0,0.2786,0.015873015873015872,0.3080065772830761,0.30760737551065476,19.10333921873256
06095,2,69477.0,0.24760000000000001,0.031746031746031744,0.6922590437642298,0.27337970630451586,30.23900377190364
06097,2,54607.32142857143,0.3278,0.031746031746031744,0.504178110657367,0.3619299988958816,27.25308455643873
06099,2,52778.0,0.4074,0.031746031746031744,0.48103971667088286,0.44981782047035446,29.19556738407839
06107,2,37710.0,0.35495,0.031746031746031744,0.2904502909182899,0.3919068124102904,21.74055436969868
06109,1,39035.0,0.22,0.015873015873015872,0.3072097141411586,0.24290603952743736,17.138393244978513
06111,6,53391.666666666664,0.2942,0.09523809523809523,0.4888017539421536,0.3248316219498731,28.218525086284608
06113,2,60440.0,0.279,0.031746031746031744,0.577953453073615,0.30804902285525015,27.849915547707226
06115,1,39552.0,0.2799,0.015873015873015872,0.3137490513534025,0.3090427293805896,19.318674056940395
08001,1,64270.0,0.2579,0.015873015873015872,0.6263976726536807,0.2847521254278459,27.969414577366436
08003,1,44372.0,0.3499,0.015873015873015872,0.3747154060207437,0.3863310146847742,23.46631325608617
08005,1,44592.0,0.1647,0.015873015873015872,0.37749810270680495,0.18184829413713152,17.415312540238727
08013,2,49229.0,0.35665,0.031746031746031744,0.4361497596761953,0.3937838136248206,26.167848468871746
08031,5,62252.2,0.26238,0.07936507936507936,0.6008752845939792,0.2896985756873137,29.89181898304196
08041,5,51958.97894736842,0.21332500000000001,0.07936507936507936,0.47068022953919075,0.23553604946450263,24.361091544713975
08051,1,46833.0,0.1347,0.015873015873015872,0.40584366304072855,0.14872474329248095,17.27197282491692
08059,2,73875.5,0.23115000000000002,0.031746031746031744,0.7478940045535036,0.2552169592580325,31.363170184187357
08067,1,46349.0,0.361,0.015873015873015872,0.39972173033139385,0.39858672849729493,24.584174399781297
08069,1,60543.0,0.1889,0.015873015873015872,0.5792562610675437,0.20856795848514964,24.269647221501433
08077,1,45823.0,0.274,0.015873015873015872,0.3930685555274475,0.30252843104780835,21.50283023217831
08099,1,38719.0,0.3174,0.015873015873015872,0.3032127498102707,0.3504471679364028,20.24471816732084
08101,1,55563.0,0.2785,0.015873015873015872,0.5162661269921579,0.30749696367450596,25.34781335492055
08103,1,43526.0,0.1764,0.015873015873015872,0.36401467240070834,0.19476647896654523,17.398355175938242
08123,1,52231.0,0.2619,0.015873015873015872,0.47412092081963064,0.2891685988737993,23.533606225723535
09110,9,63023.88888888889,0.3507888888888889,0.14285714285714285,0.6106360851111673,0.3873124532283194,35.65274186447031
09120,3,71392.0,0.2456,0.047619047619047616,0.7164811535542626,0.27117146958153915,31.534340598835954
09130,2,71332.0652173913,0.15615,0.031746031746031744,0.7157230611863306,0.17240808214640613,27.91377556982337
09140,1,73997.0,0.5,0.015873015873015872,0.7494308120414874,0.5520591807441758,39.67962041849053
09170,5,71921.0,0.29290000000000005,0.07936507936507936,0.7231722742221098,0.32339626807993826,34.571659443664615
09180,5,62669.82608695652,0.29025,0.07936507936507936,0.6061576788130094,0.32047035442199406,30.973444171653274
09190,2,66556.0,0.42505000000000004,0.031746031746031744,0.6553124209461169,0.4693055095506239,35.0083791847435
10001,2,45377.5,0.4092,0.031746031746031744,0.3874335947381735,0.45180523352103347,26.447006117617477
10003,4,55430.5,0.302475,0.06349206349206349,0.5145901846698709,0.33396820139118916,27.99643412151434
11001,9,68649.25,0.27061111111111114,0.14285714285714285,0.6817891474829244,0.2987866966005423,35.13156103678972
12001,3,61602.333333333336,0.2329,0.047619047619047616,0.5926553672316385,0.25714916639063706,27.39889791343017
12005,1,38359.0,0.2763,0.015873015873015872,0.2986592461421705,0.30506790327923156,18.746735117562697
12009,3,41156.333333333336,0.3216666666666667,0.047619047619047616,0.33404165612614894,0.35515807294541984,22.580753776908967
12011,6,45877.27358490566,0.35663333333333336,0.09523809523809523,0.39375504154952773,0.39376541165212914,27.435137405573517
12021,1,49520.0,0.2318,0.015873015873015872,0.4398305084745763,0.2559346361929999,21.50787497494792
12031,6,43871.666666666664,0.4645333333333333,0.09523809523809523,0.3683868791635045,0.5128997828567222,30.24812367013061
12033,2,42938.0,0.33755,0.031746031746031744,0.3565772830761447,0.3726951529203931,23.148014349737405
12055,1,39990.0,0.4374,0.015873015873015872,0.31928914748292436,0.48294137131500503,24.70183619885852
12057,4,50351.5,0.26997499999999997,0.06349206349206349,0.45034783708575765,0.2980843546428177,24.992648291539798
12063,2,40107.0,0.3046,0.031746031746031744,0.3207690361750569,0.33631445290935186,20.98234594237353
12069,2,34648.0,0.28015,0.031746031746031744,0.25172021249683785,0.3093187589709617,18.101010413875258
12071,3,45011.0,0.2893,0.047619047619047616,0.38279787503162155,0.31942144197858013,22.971341415067954
