county_name,state_name,population_18_24
Wabaunsee County,Kansas,6085
Wallace County,Kansas,1235
Washington County,Kansas,4759
Wichita County,Kansas,1839
Wilson County,Kansas,7461
Woodson County,Kansas,2392
Wyandotte County,Kansas,168205
Adair County,Kentucky,17277
Allen County,Kentucky,18327
Anderson County,Kentucky,20919
Ballard County,Kentucky,6389
Barren County,Kentucky,39794
Bath County,Kentucky,11620
Bell County,Kentucky,20226
Boone County,Kentucky,130929
Bourbon County,Kentucky,17440
Boyd County,Kentucky,40855
Boyle County,Kentucky,27835
Bracken County,Kentucky,7394
Breathitt County,Kentucky,10970
Breckinridge County,Kentucky,17708
Bullitt County,Kentucky,71552
Butler County,Kentucky,10627
Caldwell County,Kentucky,10863
Calloway County,Kentucky,38511
Campbell County,Kentucky,82336
Carlisle County,Kentucky,4119
Carroll County,Kentucky,10449
Carter County,Kentucky,23268
Casey County,Kentucky,13750
Christian County,Kentucky,79990
Clark County,Kentucky,32430
Clay County,Kentucky,17120
Clinton County,Kentucky,7813
Crittenden County,Kentucky,7703
Cumberland County,Kentucky,4669
Daviess County,Kentucky,95546
Edmonson County,Kentucky,9616
Elliott County,Kentucky,5700
Estill County,Kentucky,11542
Fayette County,Kentucky,316069
Fleming County,Kentucky,13383
Floyd County,Kentucky,29693
Franklin County,Kentucky,44618
Fulton County,Kentucky,5562
Gallatin County,Kentucky,7734
Garrard County,Kentucky,14577
Grant County,Kentucky,24536
Graves County,Kentucky,32584
Grayson County,Kentucky,23459
Green County,Kentucky,9074
Greenup County,Kentucky,29874
Hancock County,Kentucky,8185
Hardin County,Kentucky,105177
Harlan County,Kentucky,22519
Harrison County,Kentucky,16377
Hart County,Kentucky,17249
Henderson County,Kentucky,38748
Henry County,Kentucky,13760
Hickman County,Kentucky,3643
Hopkins County,Kentucky,39387
Jackson County,Kentucky,11153
Jefferson County,Kentucky,700856
Jessamine County,Kentucky,49976
Johnson County,Kentucky,19238
Kenton County,Kentucky,156626
Knott County,Kentucky,11918
Knox County,Kentucky,27251
Larue County,Kentucky,13104
Laurel County,Kentucky,55916
Lawrence County,Kentucky,13801
Lee County,Kentucky,5844
Leslie County,Kentucky,8700
Letcher County,Kentucky,17301
Lewis County,Kentucky,11159
Lincoln County,Kentucky,21373
Livingston County,Kentucky,7164
Logan County,Kentucky,24685
Lyon County,Kentucky,6375
McCracken County,Kentucky,58306
McCreary County,Kentucky,14768
McLean County,Kentucky,7931
Madison County,Kentucky,94053
Magoffin County,Kentucky,9631
Marion County,Kentucky,17838
Marshall County,Kentucky,25835
Martin County,Kentucky,9417
Mason County,Kentucky,14476
Meade County,Kentucky,26538
Menifee County,Kentucky,5017
Mercer County,Kentucky,19431
Metcalfe County,Kentucky,8942
Monroe County,Kentucky,9954
Montgomery County,Kentucky,25289
Morgan County,Kentucky,11474
Muhlenberg County,Kentucky,25847
Nelson County,Kentucky,41903
Nicholas County,Kentucky,7086
Ohio County,Kentucky,21520
Oldham County,Kentucky,64123
Owen County,Kentucky,9716
Owsley County,Kentucky,2802
Pendleton County,Kentucky,12641
Perry County,Kentucky,23997
Pike County,Kentucky,48029
Powell County,Kentucky,11897
Pulaski County,Kentucky,56122
Robertson County,Kentucky,2185
Rockcastle County,Kentucky,13352
Rowan County,Kentucky,26198
Russell County,Kentucky,15667
Scott County,Kentucky,56130
Shelby County,Kentucky,42075
Simpson County,Kentucky,17968
Spencer County,Kentucky,16857
Taylor County,Kentucky,24573
Todd County,Kentucky,11558
Trigg County,Kentucky,11291
Trimble County,Kentucky,7155
Union County,Kentucky,11321
Warren County,Kentucky,142174
Washington County,Kentucky,10470
Wayne County,Kentucky,16282
Webster County,Kentucky,11554
Whitley County,Kentucky,36352
Wolfe County,Kentucky,5457
Woodford County,Kentucky,23074
Acadia Parish,Louisiana,53892
Allen Parish,Louisiana,19761
Ascension Parish,Louisiana,125632
Assumption Parish,Louisiana,17300
Avoyelles Parish,Louisiana,36037
Beauregard Parish,Louisiana,34265
Bienville Parish,Louisiana,10855
Bossier Parish,Louisiana,124696
Caddo Parish,Louisiana,211960
Calcasieu Parish,Louisiana,196523
Caldwell Parish,Louisiana,8471
Cameron Parish,Louisiana,4668
Catahoula Parish,Louisiana,7634
Claiborne Parish,Louisiana,11904
Concordia Parish,Louisiana,17072
De Soto Parish,Louisiana,24150
East Baton Rouge Parish,Louisiana,457773
East Carroll Parish,Louisiana,7126
East Feliciana Parish,Louisiana,15139
Evangeline Parish,Louisiana,30833
Franklin Parish,Louisiana,17910
Grant Parish,Louisiana,19949
Iberia Parish,Louisiana,65296
Iberville Parish,Louisiana,26218
Jackson Parish,Louisiana,13018
Jefferson Parish,Louisiana,379164
Jefferson Davis Parish,Louisiana,29928
Lafayette Parish,Louisiana,231078
Lafourche Parish,Louisiana,88509
LaSalle Parish,Louisiana,13318
Lincoln Parish,Louisiana,55023
Livingston Parish,Louisiana,141396
Madison Parish,Louisiana,9262
Morehouse Parish,Louisiana,22362
Natchitoches Parish,Louisiana,38593
Orleans Parish,Louisiana,334905
Ouachita Parish,Louisiana,153036
Plaquemines Parish,Louisiana,21439
Pointe Coupee Parish,Louisiana,17319
Rapides Parish,Louisiana,120185
Red River Parish,Louisiana,6860
Richland Parish,Louisiana,18256
Sabine Parish,Louisiana,19415
St. Bernard Parish,Louisiana,43183
St. Charles Parish,Louisiana,48188
St. Helena Parish,Louisiana,9547
St. James Parish,Louisiana,17437
St. John the Baptist Parish,Louisiana,38721
St. Landry Parish,Louisiana,78050
St. Martin Parish,Louisiana,46469
St. Mary Parish,Louisiana,43100
St. Tammany Parish,Louisiana,240950
Tangipahoa Parish,Louisiana,130639
Tensas Parish,Louisiana,3108
Terrebonne Parish,Louisiana,100627
Union Parish,Louisiana,17389
Vermilion Parish,Louisiana,53069
Vernon Parish,Louisiana,49207
Washington Parish,Louisiana,40661
Webster Parish,Louisiana,31354
West Baton Rouge Parish,Louisiana,25722
West Carroll Parish,Louisiana,8488
West Feliciana Parish,Louisiana,12439
Winn Parish,Louisiana,11706
Androscoggin County,Maine,98744
Aroostook County,Maine,51338
Cumberland County,Maine,254055
Franklin County,Maine,24786
Hancock County,Maine,41306
Kennebec County,Maine,103405
Knox County,Maine,30020
Lincoln County,Maine,25689
Oxford County,Maine,44087
Penobscot County,Maine,128695
Piscataquis County,Maine,11611
Sagadahoc County,Maine,28351
Somerset County,Maine,38467
Waldo County,Maine,30254
Washington County,Maine,23921
York County,Maine,168401
Allegany County,Maryland,58966
Anne Arundel County,Maryland,532050
Baltimore County,Maryland,764419
Calvert County,Maryland,83278
Caroline County,Maryland,29931
Carroll County,Maryland,152449
Cecil County,Maryland,90293
Charles County,Maryland,155666
Dorchester County,Maryland,26914
Frederick County,Maryland,257375
Garrett County,Maryland,22097
Harford County,Maryland,230397
Howard County,Maryland,309054
Kent County,Maryland,15503
Montgomery County,Maryland,949209
Prince George's County,Maryland,866276
Queen Anne's County,Maryland,41555
St. Mary's County,Maryland,108006
Somerset County,Maryland,22739
Talbot County,Maryland,28734
Washington County,Maryland,136860
Wicomico County,Maryland,101632
Worcester County,Maryland,39512
Baltimore city,Maryland,532003
Barnstable County,Massachusetts,154813
Berkshire County,Massachusetts,99749
Bristol County,Massachusetts,503647
Dukes County,Massachusetts,15062
Essex County,Massachusetts,705003
Franklin County,Massachusetts,53426
Hampden County,Massachusetts,417248
Hampshire County,Massachusetts,150954
Middlesex County,Massachusetts,1454825
Nantucket County,Massachusetts,12328
Norfolk County,Massachusetts,635309
Plymouth County,Massachusetts,450301
Suffolk County,Massachusetts,751790
Worcester County,Massachusetts,762172
Alcona County,Michigan,5915
Alger County,Michigan,6348
Allegan County,Michigan,107215
Alpena County,Michigan,22452
Antrim County,Michigan,17078
Arenac County,Michigan,11086
Baraga County,Michigan,6472
Barry County,Michigan,54003
Bay County,Michigan,85117
Benzie County,Michigan,13240
Berrien County,Michigan,132391
Branch County,Michigan,39093
Calhoun County,Michigan,120389
Cass County,Michigan,42015
Charlevoix County,Michigan,19539
Cheboygan County,Michigan,17878
Chippewa County,Michigan,32160
Clare County,Michigan,23788
Clinton County,Michigan,69393
Crawford County,Michigan,9369
Delta County,Michigan,28724
Dickinson County,Michigan,20426
Eaton County,Michigan,93548
Emmet County,Michigan,26799
Genesee County,Michigan,356975
Gladwin County,Michigan,18801
Gogebic County,Michigan,10137
Grand Traverse County,Michigan,79325
Gratiot County,Michigan,38147
Hillsdale County,Michigan,39310
Houghton County,Michigan,40010
Huron County,Michigan,23936
Ingham County,Michigan,290731
Ionia County,Michigan,60612
Iosco County,Michigan,17452
Iron County,Michigan,8164
Isabella County,Michigan,71800
Jackson County,Michigan,139962
Kalamazoo County,Michigan,262333
Kalkaska County,Michigan,14581
Kent County,Michigan,633245
Keweenaw County,Michigan,1255
Lake County,Michigan,8616
Lapeer County,Michigan,71909
Leelanau County,Michigan,15055
Lenawee County,Michigan,84872
Livingston County,Michigan,161341
Luce County,Michigan,4838
Mackinac County,Michigan,7369
Macomb County,Michigan,754533
Manistee County,Michigan,18466
Marquette County,Michigan,61362
Mason County,Michigan,23083
Mecosta County,Michigan,36553
Menominee County,Michigan,17516
Midland County,Michigan,71889
Missaukee County,Michigan,12893
Monroe County,Michigan,131192
Montcalm County,Michigan,58322
Montmorency County,Michigan,5963
Muskegon County,Michigan,157136
Newaygo County,Michigan,42746
Oakland County,Michigan,1090413
Oceana County,Michigan,22546
Ogemaw County,Michigan,15289
Ontonagon County,Michigan,3249
Osceola County,Michigan,19421
Oscoda County,Michigan,6072
Otsego County,Michigan,20598
Ottawa County,Michigan,297479
Presque Isle County,Michigan,8462
Roscommon County,Michigan,14659
Saginaw County,Michigan,167016
St. Clair County,Michigan,131774
St. Joseph County,Michigan,54937
Sanilac County,Michigan,33415
Schoolcraft County,Michigan,5541
Shiawassee County,Michigan,57183
Tuscola County,Michigan,43057
Van Buren County,Michigan,65816
Washtenaw County,Michigan,369360
Wayne County,Michigan,1630927
Wexford County,Michigan,29415
Aitkin County,Minnesota,10685
Anoka County,Minnesota,334520
Becker County,Minnesota,30604
Beltrami County,Minnesota,47037
Benton County,Minnesota,40044
Big Stone County,Minnesota,4225
Blue Earth County,Minnesota,75502
Brown County,Minnesota,23014
Carlton County,Minnesota,31680
Carver County,Minnesota,102459
Cass County,Minnesota,23243
Chippewa County,Minnesota,11022
Chisago County,Minnesota,50143
Clay County,Minnesota,68977
Clearwater County,Minnesota,7755
Cook County,Minnesota,3704
Cottonwood County,Minnesota,10554
Crow Wing County,Minnesota,54599
Dakota County,Minnesota,407911
Dodge County,Minnesota,19752
Douglas County,Minnesota,32739
Faribault County,Minnesota,11702
Fillmore County,Minnesota,19093
Freeborn County,Minnesota,26407
Goodhue County,Minnesota,40901
Grant County,Minnesota,5212
Hennepin County,Minnesota,1169099
Houston County,Minnesota,15592
Hubbard County,Minnesota,17051
Isanti County,Minnesota,37205
Itasca County,Minnesota,35990
Jackson County,Minnesota,8440
Kanabec County,Minnesota,13521
Kandiyohi County,Minnesota,39807
Kittson County,Minnesota,3442
Koochiching County,Minnesota,8935
Lac qui Parle County,Minnesota,5513
Lake County,Minnesota,8230
Lake of the Woods County,Minnesota,2832
Le Sueur County,Minnesota,25352
Lincoln County,Minnesota,4831
Lyon County,Minnesota,24607
McLeod County,Minnesota,32576
Mahnomen County,Minnesota,5409
Marshall County,Minnesota,7835
Martin County,Minnesota,16920
Meeker County,Minnesota,20730
Mille Lacs County,Minnesota,23733
Morrison County,Minnesota,29551
Mower County,Minnesota,38268
Murray County,Minnesota,6723
Nicollet County,Minnesota,33270
Nobles County,Minnesota,21972
Norman County,Minnesota,5562
Olmsted County,Minnesota,154381
Otter Tail County,Minnesota,49448
Pennington County,Minnesota,12270
Pine County,Minnesota,23180
Pipestone County,Minnesota,8629
Polk County,Minnesota,28650
Pope County,Minnesota,9295
Ramsey County,Minnesota,521277
Red Lake County,Minnesota,3410
Redwood County,Minnesota,13843
Renville County,Minnesota,12691
Rice County,Minnesota,66027
Rock County,Minnesota,8819
Roseau County,Minnesota,13413
St. Louis County,Minnesota,177137
Scott County,Minnesota,148202
Sherburne County,Minnesota,95683
Sibley County,Minnesota,13025
Stearns County,Minnesota,161090
Steele County,Minnesota,34400
Stevens County,Minnesota,10405
Swift County,Minnesota,8881
Todd County,Minnesota,21603
Traverse County,Minnesota,2807
Wabasha County,Minnesota,17667
Wadena County,Minnesota,13036
Waseca County,Minnesota,17314
Washington County,Minnesota,249918
Watonwan County,Minnesota,10152
Wilkin County,Minnesota,5566
Winona County,Minnesota,49467
Wright County,Minnesota,140370
Yellow Medicine County,Minnesota,8367
Adams County,Mississippi,25026
Alcorn County,Mississippi,30637
Amite County,Mississippi,9794
Attala County,Mississippi,16421
Benton County,Mississippi,6265
Bolivar County,Mississippi,28654
Calhoun County,Mississippi,11218
Carroll County,Mississippi,7706
Chickasaw County,Mississippi,15528
Choctaw County,Mississippi,7110
Claiborne County,Mississippi,9498
Clarke County,Mississippi,12897
Clay County,Mississippi,16643
Coahoma County,Mississippi,20496
Copiah County,Mississippi,25704
Covington County,Mississippi,16688
DeSoto County,Mississippi,182058
Forrest County,Mississippi,82011
Franklin County,Mississippi,6602
George County,Mississippi,23309
Greene County,Mississippi,11404
Grenada County,Mississippi,19356
Hancock County,Mississippi,36177
Harrison County,Mississippi,194546
Hinds County,Mississippi,213827
Holmes County,Mississippi,15959
Humphreys County,Mississippi,7144
Issaquena County,Mississippi,758
Itawamba County,Mississippi,22094
Jackson County,Mississippi,130056
Jasper County,Mississippi,13968
Jefferson County,Mississippi,6423
Jefferson Davis County,Mississippi,9051
Jones County,Mississippi,64003
Kemper County,Mississippi,7985
Lafayette County,Mississippi,62505
Lamar County,Mississippi,61940
Lauderdale County,Mississippi,65342
Lawrence County,Mississippi,11025
Leake County,Mississippi,19453
Lee County,Mississippi,78285
Leflore County,Mississippi,27545
Lincoln County,Mississippi,30932
Lowndes County,Mississippi,55013
Madison County,Mississippi,103214
Marion County,Mississippi,21541
Marshall County,Mississippi,29000
Monroe County,Mississippi,29602
Montgomery County,Mississippi,8594
Neshoba County,Mississippi,28230
Newton County,Mississippi,20431
Noxubee County,Mississippi,9013
Oktibbeha County,Mississippi,62523
Panola County,Mississippi,30599
Pearl River County,Mississippi,50069
Perry County,Mississippi,10231
Pike County,Mississippi,38034
Pontotoc County,Mississippi,30078
Prentiss County,Mississippi,23355
Quitman County,Mississippi,5155
Rankin County,Mississippi,144691
Scott County,Mississippi,27046
Sharkey County,Mississippi,3829
Simpson County,Mississippi,23336
Smith County,Mississippi,12556
Stone County,Mississippi,17171
Sunflower County,Mississippi,23980
Tallahatchie County,Mississippi,11136
Tate County,Mississippi,26789
Tippah County,Mississippi,19895
Tishomingo County,Mississippi,15753
Tunica County,Mississippi,9547
Union County,Mississippi,26511
Walthall County,Mississippi,12552
Warren County,Mississippi,39021
Washington County,Mississippi,40216
Wayne County,Mississippi,18469
Webster County,Mississippi,8712
Wilkinson County,Mississippi,7263
Winston County,Mississippi,15504
Yalobusha County,Mississippi,10252
Yazoo County,Mississippi,25631
Adair County,Missouri,27736
Andrew County,Missouri,15659
Atchison County,Missouri,4207
Audrain County,Missouri,22078
Barry County,Missouri,29790
Barton County,Missouri,10365
Bates County,Missouri,14261
Benton County,Missouri,13463
Bollinger County,Missouri,8644
Boone County,Missouri,197337
Buchanan County,Missouri,76518
Butler County,Missouri,36961
Caldwell County,Missouri,7921
Callaway County,Missouri,39454
Camden County,Missouri,30119
Cape Girardeau County,Missouri,80033
Carroll County,Missouri,7314
Carter County,Missouri,4717
Cass County,Missouri,98701
Cedar County,Missouri,12242
Chariton County,Missouri,6248
Christian County,Missouri,84771
Clark County,Missouri,5602
Clay County,Missouri,237725
Clinton County,Missouri,18757
Cole County,Missouri,69677
Cooper County,Missouri,14892
Crawford County,Missouri,19496
Dade County,Missouri,6096
Dallas County,Missouri,14852
Daviess County,Missouri,7479
DeKalb County,Missouri,9440
Dent County,Missouri,12186
Douglas County,Missouri,9749
Dunklin County,Missouri,25777
Franklin County,Missouri,90800
Gasconade County,Missouri,12004
Gentry County,Missouri,5619
Greene County,Missouri,290790
Grundy County,Missouri,8886
Harrison County,Missouri,7254
Henry County,Missouri,18764
Hickory County,Missouri,6127
Holt County,Missouri,3397
Howard County,Missouri,9742
Howell County,Missouri,36352
Iron County,Missouri,7823
Jackson County,Missouri,672163
Jasper County,Missouri,118922
Jefferson County,Missouri,201516
Johnson County,Missouri,58505
Knox County,Missouri,3331
Laclede County,Missouri,32876
Lafayette County,Missouri,29169
Lawrence County,Missouri,35893
Lewis County,Missouri,9746
Lincoln County,Missouri,57425
Linn County,Missouri,10465
Livingston County,Missouri,13015
McDonald County,Missouri,21736
Macon County,Missouri,13189
Madison County,Missouri,11348
Maries County,Missouri,6835
Marion County,Missouri,25821
Mercer County,Missouri,3120
Miller County,Missouri,22008
Mississippi County,Missouri,10522
Moniteau County,Missouri,14236
Monroe County,Missouri,7140
Montgomery County,Missouri,9690
Morgan County,Missouri,17567
New Madrid County,Missouri,13866
Newton County,Missouri,53990
Nodaway County,Missouri,21946
Oregon County,Missouri,7264
Osage County,Missouri,12222
Ozark County,Missouri,6389
Pemiscot County,Missouri,14156
Perry County,Missouri,16771
Pettis County,Missouri,40484
Phelps County,Missouri,45026
Pike County,Missouri,15670
Platte County,Missouri,99644
Polk County,Missouri,30237
Pulaski County,Missouri,63700
Putnam County,Missouri,3769
Ralls County,Missouri,8221
Randolph County,Missouri,21762
Ray County,Missouri,19800
Reynolds County,Missouri,4833
Ripley County,Missouri,9182
St. Charles County,Missouri,371904
St. Clair County,Missouri,7418
Ste. Genevieve County,Missouri,15455
St. Francois County,Missouri,59717
St. Louis County,Missouri,889639
Saline County,Missouri,23073
Schuyler County,Missouri,3724
Scotland County,Missouri,4744
Scott County,Missouri,34347
Shannon County,Missouri,5630
Shelby County,Missouri,5213
Stoddard County,Missouri,24506
Stone County,Missouri,21648
Sullivan County,Missouri,5017
Taney County,Missouri,49673
Texas County,Missouri,21112
Vernon County,Missouri,17537
Warren County,Missouri,32268
Washington County,Missouri,20402
Wayne County,Missouri,8485
Webster County,Missouri,38259
Worth County,Missouri,1633
Wright County,Missouri,17100
St. Louis city,Missouri,259898
Beaverhead County,Montana,8209
Big Horn County,Montana,14129
Blaine County,Montana,7096
Broadwater County,Montana,5418
Carbon County,Montana,7649
Carter County,Montana,929
Cascade County,Montana,77180
Chouteau County,Montana,4952
Custer County,Montana,10008
Daniels County,Montana,1219
Dawson County,Montana,7646
Deer Lodge County,Montana,6602
Fallon County,Montana,2657
Fergus County,Montana,9309
Flathead County,Montana,91333
Gallatin County,Montana,124651
Garfield County,Montana,767
Glacier County,Montana,14232
Golden Valley County,Montana,541
Granite County,Montana,2404
Hill County,Montana,16135
Jefferson County,Montana,9592
Judith Basin County,Montana,1574
Lake County,Montana,27007
Lewis and Clark County,Montana,61905
Liberty County,Montana,1931
Lincoln County,Montana,14307
McCone County,Montana,1367
Madison County,Montana,6079
Meagher County,Montana,1275
Mineral County,Montana,3537
Missoula County,Montana,112877
Musselshell County,Montana,3701
Park County,Montana,12758
Petroleum County,Montana,232
Phillips County,Montana,3511
Pondera County,Montana,5210
Powder River County,Montana,1303
Powell County,Montana,5376
Prairie County,Montana,903
Ravalli County,Montana,34598
Richland County,Montana,10870
Roosevelt County,Montana,11756
Rosebud County,Montana,7988
Sanders County,Montana,8928
Sheridan County,Montana,2966
Silver Bow County,Montana,31738
Stillwater County,Montana,7181
Sweet Grass County,Montana,3220
Teton County,Montana,5514
Toole County,Montana,4328
Treasure County,Montana,526
Valley County,Montana,6371
Wheatland County,Montana,1624
Wibaux County,Montana,1036
Yellowstone County,Montana,153671
Adams County,Nebraska,29010
Antelope County,Nebraska,5545
Arthur County,Nebraska,568
Banner County,Nebraska,385
Blaine County,Nebraska,244
Boone County,Nebraska,4670
Box Butte County,Nebraska,9431
Boyd County,Nebraska,1217
Brown County,Nebraska,2201
Buffalo County,Nebraska,51495
Burt County,Nebraska,5802
Butler County,Nebraska,7453
Cass County,Nebraska,23600
Cedar County,Nebraska,7528
Chase County,Nebraska,3196
Cherry County,Nebraska,4760
Cheyenne County,Nebraska,8134
Clay County,Nebraska,5324
Colfax County,Nebraska,10286
Cuming County,Nebraska,8056
Custer County,Nebraska,9308
Dakota County,Nebraska,21968
Dawes County,Nebraska,8348
Dawson County,Nebraska,23593
Deuel County,Nebraska,1375
Dixon County,Nebraska,4994
Dodge County,Nebraska,34989
Douglas County,Nebraska,574601
Dundy County,Nebraska,1472
Fillmore County,Nebraska,4397
Franklin County,Nebraska,2265
Frontier County,Nebraska,2348
Furnas County,Nebraska,3847
Gage County,Nebraska,18793
Garden County,Nebraska,1258
Garfield County,Nebraska,1542
Gosper County,Nebraska,1378
Grant County,Nebraska,615
Greeley County,Nebraska,1907
Hall County,Nebraska,61254
Hamilton County,Nebraska,8491
Harlan County,Nebraska,2472
Hayes County,Nebraska,654
Hitchcock County,Nebraska,2163
Holt County,Nebraska,8923
Hooker County,Nebraska,581
Howard County,Nebraska,5729
Jefferson County,Nebraska,6050
Johnson County,Nebraska,4647
Kearney County,Nebraska,6059
Keith County,Nebraska,6448
Keya Paha County,Nebraska,858
Kimball County,Nebraska,2740
Knox County,Nebraska,7304
Lancaster County,Nebraska,330674
Lincoln County,Nebraska,30106
Logan County,Nebraska,728
Loup County,Nebraska,443
McPherson County,Nebraska,373
Madison County,Nebraska,34162
Merrick County,Nebraska,6683
Morrill County,Nebraska,4039
Nance County,Nebraska,2873
Nemaha County,Nebraska,6673
Nuckolls County,Nebraska,3075
Otoe County,Nebraska,14538
Pawnee County,Nebraska,2115
Perkins County,Nebraska,2580
Phelps County,Nebraska,8192
Pierce County,Nebraska,6626
Platte County,Nebraska,33062
Polk County,Nebraska,4550
Red Willow County,Nebraska,9543
Richardson County,Nebraska,6568
Rock County,Nebraska,1139
Saline County,Nebraska,14592
Sarpy County,Nebraska,193811
Saunders County,Nebraska,20312
Scotts Bluff County,Nebraska,32881
Seward County,Nebraska,17569
Sheridan County,Nebraska,4185
Sherman County,Nebraska,2397
Sioux County,Nebraska,1016
Stanton County,Nebraska,5236
Thayer County,Nebraska,4187
Thomas County,Nebraska,439
Thurston County,Nebraska,7417
Valley County,Nebraska,3352
Washington County,Nebraska,18430
Wayne County,Nebraska,10975
Webster County,Nebraska,2829
Wheeler County,Nebraska,415
York County,Nebraska,13089
Churchill County,Nevada,22555
Clark County,Nevada,2089619
Douglas County,Nevada,33356
Elko County,Nevada,52536
Esmeralda County,Nevada,367
Eureka County,Nevada,1388
Humboldt County,Nevada,16148
Lander County,Nevada,5760
Lincoln County,Nevada,3728
Lyon County,Nevada,50028
Mineral County,Nevada,3814
Nye County,Nevada,36271
Pershing County,Nevada,5247
Storey County,Nevada,2539
Washoe County,Nevada,439297
White Pine County,Nevada,7499
Carson City,Nevada,49106
Belknap County,New Hampshire,47963
Carroll County,New Hampshire,33114
Cheshire County,New Hampshire,64263
Coos County,New Hampshire,22179
Grafton County,New Hampshire,76565
Hillsborough County,New Hampshire,363952
Merrimack County,New Hampshire,129608
Rockingham County,New Hampshire,251341
Strafford County,New Hampshire,122978
Sullivan County,New Hampshire,32714
Atlantic County,New Jersey,235891
Bergen County,New Jersey,823946
Burlington County,New Jersey,398139
Camden County,New Jersey,473678
Cape May County,New Jersey,68387
Cumberland County,New Jersey,143722
Essex County,New Jersey,801126
Gloucester County,New Jersey,274038
Hudson County,New Jersey,651179
Hunterdon County,New Jersey,102908
Mercer County,New Jersey,353135
Middlesex County,New Jersey,783999
Monmouth County,New Jersey,544258
Morris County,New Jersey,437420
Ocean County,New Jersey,570324
Passaic County,New Jersey,482685
Salem County,New Jersey,56416
Somerset County,New Jersey,300508
Sussex County,New Jersey,117026
Union County,New Jersey,524568
Warren County,New Jersey,90430
Bernalillo County,New Mexico,608033
Catron County,New Mexico,2450
Chaves County,New Mexico,63287
Cibola County,New Mexico,24572
Colfax County,New Mexico,9428
Curry County,New Mexico,50442
De Baca County,New Mexico,1381
Doña Ana County,New Mexico,227253
Eddy County,New Mexico,59978
Grant County,New Mexico,21396
Guadalupe County,New Mexico,3815
Harding County,New Mexico,707
Hidalgo County,New Mexico,3421
Lea County,New Mexico,78618
Lincoln County,New Mexico,13793
Los Alamos County,New Mexico,16917
Luna County,New Mexico,24604
McKinley County,New Mexico,72974
Mora County,New Mexico,2884
Otero County,New Mexico,65400
Quay County,New Mexico,6729
Rio Arriba County,New Mexico,34949
Roosevelt County,New Mexico,20476
Sandoval County,New Mexico,133298
San Juan County,New Mexico,116875
San Miguel County,New Mexico,21569
Santa Fe County,New Mexico,115041
Sierra County,New Mexico,8000
Socorro County,New Mexico,15279
Taos County,New Mexico,24698
Torrance County,New Mexico,12981
Union County,New Mexico,3350
Valencia County,New Mexico,70118
Albany County,New York,294196
Allegany County,New York,45171
Bronx County,New York,1372189
Broome County,New York,184918
Cattaraugus County,New York,66372
Cayuga County,New York,61862
Chautauqua County,New York,108084
Chemung County,New York,71649
Chenango County,New York,38104
Clinton County,New York,69035
Columbia County,New York,44551
Cortland County,New York,45728
Delaware County,New York,33934
Dutchess County,New York,253479
Erie County,New York,830522
Essex County,New York,26984
Franklin County,New York,40287
Fulton County,New York,43586
Genesee County,New York,48572
Greene County,New York,36103
Hamilton County,New York,3072
Herkimer County,New York,49610
Jefferson County,New York,115880
Kings County,New York,2453264
Lewis County,New York,23074
Livingston County,New York,55102
Madison County,New York,59398
Monroe County,New York,674373
Montgomery County,New York,43903
Nassau County,New York,1212975
New York County,New York,1359921
Niagara County,New York,175996
Oneida County,New York,203155
Onondaga County,New York,424245
Ontario County,New York,93405
Orange County,New York,392748
Orleans County,New York,31897
Oswego County,New York,104946
Otsego County,New York,54797
Putnam County,New York,80094
Queens County,New York,1980721
Rensselaer County,New York,140324
Richmond County,New York,434051
Rockland County,New York,339251
St. Lawrence County,New York,100467
Saratoga County,New York,195210
Schenectady County,New York,143875
Schoharie County,New York,24414
Schuyler County,New York,13574
Seneca County,New York,27493
Steuben County,New York,78304
Suffolk County,New York,1321321
Sullivan County,New York,67208
Tioga County,New York,39601
Tompkins County,New York,108913
Ulster County,New York,147837
Warren County,New York,50482
Washington County,New York,48336
Wayne County,New York,74625
Westchester County,New York,879414
Wyoming County,New York,32372
Yates County,New York,21304
Alamance County,North Carolina,160751
Alexander County,North Carolina,29821
Alleghany County,North Carolina,7652
Anson County,North Carolina,18731
Ashe County,North Carolina,19575
Avery County,North Carolina,13123
Beaufort County,North Carolina,34568
Bertie County,North Carolina,13358
Bladen County,North Carolina,24389
Brunswick County,North Carolina,89979
Buncombe County,North Carolina,223445
Burke County,North Carolina,70548
Cabarrus County,North Carolina,221584
Caldwell County,North Carolina,64712
Camden County,North Carolina,9253
Carteret County,North Carolina,49923
Caswell County,North Carolina,17896
Catawba County,North Carolina,140577
Chatham County,North Carolina,61216
Cherokee County,North Carolina,19810
Chowan County,North Carolina,10458
Clay County,North Carolina,7409
Cleveland County,North Carolina,87509
Columbus County,North Carolina,43113
Craven County,North Carolina,91305
Cumberland County,North Carolina,349239
Currituck County,North Carolina,24774
Dare County,North Carolina,27157
Davidson County,North Carolina,146418
Davie County,North Carolina,36118
Duplin County,North Carolina,43787
Durham County,North Carolina,308735
Edgecombe County,North Carolina,42872
Forsyth County,North Carolina,358835
Franklin County,North Carolina,61882
Gaston County,North Carolina,205065
Gates County,North Carolina,8372
Graham County,North Carolina,6649
Granville County,North Carolina,52144
Greene County,North Carolina,17947
Guilford County,North Carolina,517411
Halifax County,North Carolina,40233
Harnett County,North Carolina,132963
Haywood County,North Carolina,47649
Henderson County,North Carolina,91072
