county_name,state_name,population_18_24
Riverside County,California,2370688
Sacramento County,California,1484172
San Benito County,California,64695
San Bernardino County,California,2202546
San Diego County,California,3060389
San Francisco County,California,668556
San Joaquin County,California,791381
San Luis Obispo County,California,255977
San Mateo County,California,640542
Santa Barbara County,California,450564
Santa Clara County,California,1750943
Santa Cruz County,California,244025
Shasta County,California,156137
Sierra County,California,1608
Siskiyou County,California,34360
Solano County,California,405761
Sonoma County,California,404036
Stanislaus County,California,557993
Sutter County,California,95807
Tehama County,California,58426
Trinity County,California,10665
Tulare County,California,514234
Tuolumne County,California,41601
Ventura County,California,762672
Yolo County,California,235247
Yuba County,California,84201
Adams County,Colorado,527433
Alamosa County,Colorado,17736
Arapahoe County,Colorado,614456
Archuleta County,Colorado,9240
Baca County,Colorado,2936
Bent County,Colorado,4444
Boulder County,Colorado,314449
Broomfield County,Colorado,68717
Chaffee County,Colorado,13776
Cheyenne County,Colorado,1471
Clear Creek County,Colorado,6498
Conejos County,Colorado,6890
Costilla County,Colorado,2635
Crowley County,Colorado,5070
Custer County,Colorado,3012
Delta County,Colorado,24427
Denver County,Colorado,662951
Dolores County,Colorado,1474
Douglas County,Colorado,340009
Eagle County,Colorado,48555
Elbert County,Colorado,21913
El Paso County,Colorado,721843
Fremont County,Colorado,37827
Garfield County,Colorado,58602
Gilpin County,Colorado,3708
Grand County,Colorado,11386
Gunnison County,Colorado,16795
Hinsdale County,Colorado,555
Huerfano County,Colorado,4677
Jackson County,Colorado,1119
Jefferson County,Colorado,493453
Kiowa County,Colorado,1206
Kit Carson County,Colorado,6647
Lake County,Colorado,7068
La Plata County,Colorado,46428
Larimer County,Colorado,348673
Las Animas County,Colorado,11393
Lincoln County,Colorado,4830
Logan County,Colorado,18762
Mesa County,Colorado,137992
Mineral County,Colorado,466
Moffat County,Colorado,12285
Montezuma County,Colorado,21235
Montrose County,Colorado,35282
Morgan County,Colorado,28208
Otero County,Colorado,16919
Ouray County,Colorado,2839
Park County,Colorado,11104
Phillips County,Colorado,4161
Pitkin County,Colorado,12622
Prowers County,Colorado,11582
Pueblo County,Colorado,150594
Rio Blanco County,Colorado,6071
Rio Grande County,Colorado,9573
Routt County,Colorado,19876
Saguache County,Colorado,4532
San Juan County,Colorado,516
San Miguel County,Colorado,6129
Sedgwick County,Colorado,1970
Summit County,Colorado,24926
Teller County,Colorado,16361
Washington County,Colorado,4268
Weld County,Colorado,337765
Yuma County,Colorado,9106
Capitol Planning Region,Connecticut,867792
Greater Bridgeport Planning Region,Connecticut,300475
Lower Connecticut River Valley Planning Region,Connecticut,139399
Naugatuck Valley Planning Region,Connecticut,388440
Northeastern Connecticut Planning Region,Connecticut,77025
Northwest Hills Planning Region,Connecticut,87852
South Central Connecticut Planning Region,Connecticut,502016
Southeastern Connecticut Planning Region,Connecticut,243034
Western Connecticut Planning Region,Connecticut,546547
Kent County,Delaware,171880
New Castle County,Delaware,515833
Sussex County,Delaware,177579
District of Columbia,District of Columbia,631243
Alachua County,Florida,298553
Baker County,Florida,26501
Bay County,Florida,153962
Bradford County,Florida,23754
Brevard County,Florida,483517
Broward County,Florida,1673198
Calhoun County,Florida,11434
Charlotte County,Florida,114129
Citrus County,Florida,104259
Clay County,Florida,200052
Collier County,Florida,281482
Columbia County,Florida,61511
DeSoto County,Florida,28807
Dixie County,Florida,13379
Duval County,Florida,928986
Escambia County,Florida,296109
Flagler County,Florida,84940
Franklin County,Florida,8641
Gadsden County,Florida,37178
Gilchrist County,Florida,15584
Glades County,Florida,9665
Gulf County,Florida,10535
Hamilton County,Florida,11377
Hardee County,Florida,24610
Hendry County,Florida,40158
Hernando County,Florida,156316
Highlands County,Florida,76339
Hillsborough County,Florida,1371239
Holmes County,Florida,16613
Indian River County,Florida,114463
Jackson County,Florida,39698
Jefferson County,Florida,11291
Lafayette County,Florida,6960
Lake County,Florida,314919
Lee County,Florida,600662
Leon County,Florida,315002
Levy County,Florida,34146
Liberty County,Florida,6998
Madison County,Florida,14114
Manatee County,Florida,311736
Marion County,Florida,301742
Martin County,Florida,114502
Miami-Dade County,Florida,2322868
Monroe County,Florida,57085
Nassau County,Florida,73124
Okaloosa County,Florida,196466
Okeechobee County,Florida,35059
Orange County,Florida,1375733
Osceola County,Florida,391229
Palm Beach County,Florida,1231878
Pasco County,Florida,488776
Pinellas County,Florida,704051
Polk County,Florida,686632
Putnam County,Florida,60567
St. Johns County,Florida,243615
St. Lucie County,Florida,279603
Santa Rosa County,Florida,170573
Sarasota County,Florida,296359
Seminole County,Florida,421886
Sumter County,Florida,61054
Suwannee County,Florida,38856
Taylor County,Florida,17998
Union County,Florida,13112
Volusia County,Florida,443732
Wakulla County,Florida,28716
Walton County,Florida,63561
Washington County,Florida,20908
Appling County,Georgia,16990
Atkinson County,Georgia,7915
Bacon County,Georgia,10803
Baker County,Georgia,2192
Baldwin County,Georgia,43110
Banks County,Georgia,15872
Barrow County,Georgia,84063
Bartow County,Georgia,102337
Ben Hill County,Georgia,15693
Berrien County,Georgia,16148
Bibb County,Georgia,149301
Bleckley County,Georgia,11968
Brantley County,Georgia,16039
Brooks County,Georgia,13539
Bryan County,Georgia,48484
Bulloch County,Georgia,90483
Burke County,Georgia,23079
Butts County,Georgia,23103
Calhoun County,Georgia,4749
Camden County,Georgia,54906
Candler County,Georgia,9856
Carroll County,Georgia,121385
Catoosa County,Georgia,60930
Charlton County,Georgia,12320
Chatham County,Georgia,276473
Chattahoochee County,Georgia,12440
Chattooga County,Georgia,21883
Cherokee County,Georgia,248511
Clarke County,Georgia,145387
Clay County,Georgia,2667
Clayton County,Georgia,304435
