county_name,state_name,total_population,bachelor_degree_or_higher,percent_bachelor_degree_or_higher
Nowata County,Oklahoma,6519,1072,16.444239914097253
Okfuskee County,Oklahoma,7885,1033,13.100824350031706
Oklahoma County,Oklahoma,521753,183108,35.09476706410888
Okmulgee County,Oklahoma,24758,4283,17.29945876080459
Osage County,Oklahoma,32770,7045,21.498321635642355
Ottawa County,Oklahoma,19654,2942,14.968963060954513
Pawnee County,Oklahoma,10864,1773,16.3199558173785
Payne County,Oklahoma,44715,17933,40.10511014201051
Pittsburg County,Oklahoma,30399,5991,19.707885127800257
Pontotoc County,Oklahoma,25225,7500,29.73240832507433
Pottawatomie County,Oklahoma,48670,10220,20.998561742346414
Pushmataha County,Oklahoma,7721,1107,14.337521046496567
Roger Mills County,Oklahoma,2333,557,23.87483926275182
Rogers County,Oklahoma,66240,16959,25.602355072463766
Seminole County,Oklahoma,15667,2369,15.120954873300569
Sequoyah County,Oklahoma,27016,4093,15.150281314776429
Stephens County,Oklahoma,30143,5875,19.490428955313007
Texas County,Oklahoma,12651,3089,24.417042131056835
Tillman County,Oklahoma,4682,809,17.2789406236651
Tulsa County,Oklahoma,442433,149170,33.715839460438076
Wagoner County,Oklahoma,57774,15518,26.859833142936267
Washington County,Oklahoma,35869,10925,30.45805570269592
Washita County,Oklahoma,7458,1520,20.38079914186109
Woods County,Oklahoma,5358,1743,32.53079507278835
Woodward County,Oklahoma,13696,2961,21.61945093457944
Baker County,Oregon,12535,3381,26.972477064220186
Benton County,Oregon,59446,32313,54.356895333580056
Clackamas County,Oregon,302789,120172,39.688363844129086
Clatsop County,Oregon,31093,8177,26.298523783488243
Columbia County,Oregon,38609,7403,19.174285788287705
Coos County,Oregon,48963,10621,21.6918897943345
Crook County,Oregon,19116,4306,22.52563297761038
Curry County,Oregon,19191,4641,24.18321088010005
Deschutes County,Oregon,150533,65280,43.36590647897803
Douglas County,Oregon,83165,15757,18.946672278001564
Gilliam County,Oregon,1499,314,20.9472981987992
Grant County,Oregon,5638,1108,19.65235899255055
Harney County,Oregon,5559,869,15.632307969059184
Hood River County,Oregon,16693,6574,39.38177679266758
Jackson County,Oregon,160714,49152,30.58352103737073
Jefferson County,Oregon,17400,3484,20.022988505747126
Josephine County,Oregon,65715,12955,19.713916153085293
Klamath County,Oregon,49358,10618,21.512216864540704
Lake County,Oregon,6146,1282,20.85909534656687
Lane County,Oregon,266887,89228,33.43287608613383
Lincoln County,Oregon,39558,11397,28.810860003033522
Linn County,Oregon,91102,18926,20.774516476037846
Malheur County,Oregon,20708,3201,15.457794089240872
Marion County,Oregon,232000,60279,25.9823275862069
Morrow County,Oregon,7621,746,9.788741634956043
Multnomah County,Oregon,597528,290508,48.61830742659758
Polk County,Oregon,58331,17868,30.632082426154188
Sherman County,Oregon,1364,220,16.129032258064516
Tillamook County,Oregon,21007,5272,25.09639643928214
Umatilla County,Oregon,53149,9563,17.99281265875181
Union County,Oregon,17561,4375,24.91315984283355
Wallowa County,Oregon,5640,2083,36.93262411347518
Wasco County,Oregon,18835,4102,21.77860366339262
Washington County,Oregon,420271,196224,46.68987391468838
Wheeler County,Oregon,1157,236,20.397579948141743
Yamhill County,Oregon,74129,21677,29.242266859123962
Adams County,Pennsylvania,74009,18329,24.765906849166992
Allegheny County,Pennsylvania,900575,403248,44.77672598062349
Armstrong County,Pennsylvania,48500,9146,18.857731958762887
Beaver County,Pennsylvania,122830,34755,28.295204754538794
Bedford County,Pennsylvania,34910,5707,16.34775136064165
Berks County,Pennsylvania,294011,79881,27.16939162140192
Blair County,Pennsylvania,87152,20990,24.08435836240132
Bradford County,Pennsylvania,42543,9023,21.209129586535973
Bucks County,Pennsylvania,466402,204982,43.94964001012003
Butler County,Pennsylvania,140605,54328,38.63873973187298
Cambria County,Pennsylvania,95281,21907,22.991992107555546
Cameron County,Pennsylvania,3493,393,11.251073575722874
Carbon County,Pennsylvania,48194,8840,18.34253226542723
Centre County,Pennsylvania,97523,45345,46.49672384975852
Chester County,Pennsylvania,371656,210289,56.58162386723207
Clarion County,Pennsylvania,25366,5907,23.28707718993929
Clearfield County,Pennsylvania,58882,11810,20.057063279100575
Clinton County,Pennsylvania,25007,5324,21.29003878913904
Columbia County,Pennsylvania,43838,10906,24.877959760937998
Crawford County,Pennsylvania,58820,12484,21.224073444406663
Cumberland County,Pennsylvania,184003,72797,39.562941908555835
Dauphin County,Pennsylvania,199521,68415,34.28962364863849
Delaware County,Pennsylvania,392827,163404,41.596937074080955
Elk County,Pennsylvania,22753,4538,19.944622687118184
Erie County,Pennsylvania,186451,55240,29.627087009455565
Fayette County,Pennsylvania,93622,17723,18.930379611629743
Forest County,Pennsylvania,5948,720,12.1049092131809
Franklin County,Pennsylvania,110515,26471,23.952404650952356
Fulton County,Pennsylvania,10630,1820,17.121354656632175
Greene County,Pennsylvania,25315,5342,21.102113371518865
Huntingdon County,Pennsylvania,31831,5790,18.189814960258868
Indiana County,Pennsylvania,54468,14662,26.918557685246387
Jefferson County,Pennsylvania,31496,5509,17.491109982219967
Juniata County,Pennsylvania,16435,2465,14.998478856099787
Lackawanna County,Pennsylvania,152357,45914,30.135799470979347
Lancaster County,Pennsylvania,377538,116943,30.975160116332663
Lawrence County,Pennsylvania,61529,14016,22.77950234848608
Lebanon County,Pennsylvania,99085,23733,23.952162284906898
Lehigh County,Pennsylvania,257679,86009,33.378350583477896
Luzerne County,Pennsylvania,232115,57994,24.985028972707493
Lycoming County,Pennsylvania,79987,19836,24.79902984234938
McKean County,Pennsylvania,28598,5819,20.347576753619133
Mercer County,Pennsylvania,78713,19738,25.075908680904046
Mifflin County,Pennsylvania,32321,4280,13.242164536988335
Monroe County,Pennsylvania,119743,33384,27.879709043534906
Montgomery County,Pennsylvania,607780,317581,52.25262430484715
Montour County,Pennsylvania,13257,4856,36.629705061476955
Northampton County,Pennsylvania,222029,74974,33.76766098122317
Northumberland County,Pennsylvania,66645,12778,19.173231300172557
Perry County,Pennsylvania,33198,6176,18.603530333152598
Philadelphia County,Pennsylvania,1088969,377211,34.639278069439996
Pike County,Pennsylvania,45250,13064,28.8707182320442
Potter County,Pennsylvania,11923,2036,17.076239201543235
Schuylkill County,Pennsylvania,104202,19924,19.120554307978736
Snyder County,Pennsylvania,26673,5714,21.422412177107937
Somerset County,Pennsylvania,54932,9495,17.285006917643635
Sullivan County,Pennsylvania,4876,963,19.749794913863823
Susquehanna County,Pennsylvania,28603,5654,19.767157291193232
Tioga County,Pennsylvania,29448,6324,21.475142624286878
Union County,Pennsylvania,29162,7706,26.424799396474864
Venango County,Pennsylvania,37206,7312,19.652744181046067
Warren County,Pennsylvania,28168,5484,19.468900880431693
Washington County,Pennsylvania,152026,49842,32.7851814821149
Wayne County,Pennsylvania,39450,8516,21.58681875792142
Westmoreland County,Pennsylvania,263301,83845,31.843783350613936
Wyoming County,Pennsylvania,18808,4044,21.501488728200766
York County,Pennsylvania,322163,87663,27.210759770675093
Bristol County,Rhode Island,35592,18420,51.75320296695887
Kent County,Rhode Island,127456,43713,34.29654155159428
Newport County,Rhode Island,63729,33807,53.04806289130537
Providence County,Rhode Island,458321,147584,32.20101195450351
Washington County,Rhode Island,91407,46143,50.480816567658934
Abbeville County,South Carolina,17240,3332,19.327146171693734
Aiken County,South Carolina,121731,37801,31.052895318365902
Allendale County,South Carolina,5588,745,13.332140300644237
Anderson County,South Carolina,142807,37722,26.414671549713947
Bamberg County,South Carolina,8947,1685,18.83312842293506
Barnwell County,South Carolina,13923,1788,12.842059900883429
Beaufort County,South Carolina,138607,62063,44.77623785234512
Berkeley County,South Carolina,159984,47902,29.94174417441744
Calhoun County,South Carolina,10590,2305,21.765816808309726
Charleston County,South Carolina,298970,146599,49.03468575442352
Cherokee County,South Carolina,38454,7077,18.403807146200656
Chester County,South Carolina,22535,3097,13.743066341246948
Chesterfield County,South Carolina,30551,4033,13.20087722169487
Clarendon County,South Carolina,22623,3997,17.667860142333026
Colleton County,South Carolina,26998,4500,16.66790132602415
Darlington County,South Carolina,43184,8507,19.69942571322712
Dillon County,South Carolina,18540,2167,11.688241639697951
Dorchester County,South Carolina,111681,33468,29.9674967093776
Edgefield County,South Carolina,19649,4213,21.44129472237773
Fairfield County,South Carolina,15352,2355,15.340020844189684
Florence County,South Carolina,92623,21902,23.646394524038307
Georgetown County,South Carolina,48751,15840,32.49164119710365
Greenville County,South Carolina,367656,147181,40.03225841547533
Greenwood County,South Carolina,46633,11922,25.565586601762703
Hampton County,South Carolina,13172,1549,11.759793501366534
Horry County,South Carolina,276831,73626,26.596009839938446
Jasper County,South Carolina,22389,5805,25.927911027736833
Kershaw County,South Carolina,46415,10595,22.826672411935796
Lancaster County,South Carolina,72875,22733,31.194511149228134
Laurens County,South Carolina,47275,8447,17.86779481755685
Lee County,South Carolina,11756,1503,12.784960871044573
Lexington County,South Carolina,208330,68974,33.10804972879566
McCormick County,South Carolina,8047,1857,23.076923076923077
Marion County,South Carolina,20185,2781,13.777557592271489
Marlboro County,South Carolina,18924,1652,8.729655463961107
Newberry County,South Carolina,26039,6114,23.480164368831367
Oconee County,South Carolina,58551,16697,28.51701935065157
Orangeburg County,South Carolina,56492,10938,19.362033562274306
Pickens County,South Carolina,84012,22947,27.31395514926439
Richland County,South Carolina,265906,109332,41.11678563101246
Saluda County,South Carolina,13330,2646,19.849962490622655
Spartanburg County,South Carolina,228901,58913,25.737327490924024
Sumter County,South Carolina,69534,16103,23.158454856616906
Union County,South Carolina,19380,2608,13.45717234262126
Williamsburg County,South Carolina,22227,3416,15.368695730417961
York County,South Carolina,196186,74771,38.112301591346984
Aurora County,South Dakota,1719,321,18.673647469458988
Beadle County,South Dakota,12392,3270,26.387992253066493
Bennett County,South Dakota,1856,376,20.25862068965517
Bon Homme County,South Dakota,5169,1037,20.061907525633586
Brookings County,South Dakota,19051,8376,43.96619600020996
Brown County,South Dakota,25250,8375,33.16831683168317
Brule County,South Dakota,3595,1085,30.180806675938804
Buffalo County,South Dakota,916,64,6.986899563318777
Butte County,South Dakota,7229,1402,19.394107068750866
Campbell County,South Dakota,1127,333,29.547471162378
Charles Mix County,South Dakota,5692,1430,25.12297962052003
Clark County,South Dakota,2557,415,16.229956980836917
Clay County,South Dakota,7401,3401,45.953249560870155
Codington County,South Dakota,19498,4071,20.87906451943789
Corson County,South Dakota,2131,410,19.239793524167055
Custer County,South Dakota,7152,2299,32.14485458612975
Davison County,South Dakota,13467,3361,24.95730303705354
Day County,South Dakota,3878,827,21.325425477050025
Deuel County,South Dakota,2941,710,24.141448486909216
Dewey County,South Dakota,2794,483,17.28704366499642
Douglas County,South Dakota,1919,440,22.92860865033872
Edmunds County,South Dakota,2856,843,29.516806722689076
Fall River County,South Dakota,5570,1237,22.20825852782765
Faulk County,South Dakota,1445,264,18.269896193771626
Grant County,South Dakota,5242,1339,25.54368561617703
Gregory County,South Dakota,2764,579,20.947901591895803
Haakon County,South Dakota,1233,241,19.54582319545823
Hamlin County,South Dakota,3649,892,24.44505343929844
Hand County,South Dakota,2075,544,26.216867469879517
Hanson County,South Dakota,2195,473,21.548974943052393
Harding County,South Dakota,817,248,30.354957160342718
Hughes County,South Dakota,12294,4419,35.94436310395315
Hutchinson County,South Dakota,4967,1275,25.669418159855045
Hyde County,South Dakota,990,209,21.11111111111111
Jackson County,South Dakota,1658,189,11.399276236429433
Jerauld County,South Dakota,1386,293,21.139971139971138
Jones County,South Dakota,647,164,25.347758887171562
Kingsbury County,South Dakota,3552,792,22.2972972972973
Lake County,South Dakota,7701,2670,34.67082197117258
Lawrence County,South Dakota,19010,6480,34.08732246186218
Lincoln County,South Dakota,44685,18993,42.50419603893924
Lyman County,South Dakota,2324,587,25.25817555938038
McCook County,South Dakota,3741,1072,28.655439721999464
McPherson County,South Dakota,1640,368,22.439024390243905
Marshall County,South Dakota,2927,657,22.446190638879397
Meade County,South Dakota,20544,5523,26.88376168224299
Mellette County,South Dakota,1237,202,16.329830234438155
Miner County,South Dakota,1661,268,16.134858518964478
Minnehaha County,South Dakota,132644,45849,34.565453394047225
Moody County,South Dakota,4251,1317,30.980945659844743
Oglala Lakota County,South Dakota,7033,688,9.782454144746197
Pennington County,South Dakota,77753,26479,34.05527760986715
Perkins County,South Dakota,2141,466,21.765530126109294
Potter County,South Dakota,1735,462,26.628242074927954
Roberts County,South Dakota,6605,1207,18.274034822104465
Sanborn County,South Dakota,1585,305,19.242902208201894
Spink County,South Dakota,4507,1223,27.13556689593965
Stanley County,South Dakota,2181,553,25.355341586428242
Sully County,South Dakota,1103,231,20.942883046237533
Todd County,South Dakota,4682,775,16.552755232806494
Tripp County,South Dakota,4068,810,19.911504424778762
Turner County,South Dakota,6002,1573,26.207930689770077
Union County,South Dakota,11663,4258,36.508616993912376
Walworth County,South Dakota,3787,1176,31.053604436229204
Yankton County,South Dakota,16346,4520,27.65202496023492
Ziebach County,South Dakota,1507,212,14.067684140676842
Anderson County,Tennessee,55857,14713,26.340476574108884
Bedford County,Tennessee,34147,5774,16.909245321697366
Benton County,Tennessee,11539,1435,12.436086315971922
Bledsoe County,Tennessee,11607,1023,8.813646937193074
Blount County,Tennessee,99984,26785,26.78928628580573
Bradley County,Tennessee,75333,18562,24.6399320350975
Campbell County,Tennessee,28633,3790,13.236475395522648
Cannon County,Tennessee,10397,1760,16.92795998845821
Carroll County,Tennessee,19514,3680,18.85825561135595
Carter County,Tennessee,41961,8668,20.657276995305164
Cheatham County,Tennessee,29614,7420,25.055716890659824
Chester County,Tennessee,11400,2184,19.157894736842103
Claiborne County,Tennessee,23134,4003,17.30353592115501
Clay County,Tennessee,5578,669,11.9935460738616
Cocke County,Tennessee,26491,3085,11.645464497376468
Coffee County,Tennessee,40008,9176,22.935412917416517
Crockett County,Tennessee,9556,1502,15.717873587275012
Cumberland County,Tennessee,48450,8961,18.4953560371517
Davidson County,Tennessee,493272,233419,47.320545256977894
Decatur County,Tennessee,8351,1254,15.01616572865525
DeKalb County,Tennessee,14536,2902,19.9642267473858
Dickson County,Tennessee,38559,8235,21.356881661868822
Dyer County,Tennessee,25043,5420,21.64277442798387
Fayette County,Tennessee,31991,8605,26.898190115970117
Fentress County,Tennessee,13693,2091,15.270576206821005
Franklin County,Tennessee,29973,6909,23.050745671103996
Gibson County,Tennessee,34428,6569,19.080399674683395
Giles County,Tennessee,21500,4136,19.23720930232558
Grainger County,Tennessee,17556,2621,14.929368876737298
Greene County,Tennessee,51319,9073,17.67961183966952
Grundy County,Tennessee,9757,1209,12.391103822896381
Hamblen County,Tennessee,44322,8890,20.05775912639321
Hamilton County,Tennessee,261480,96656,36.96496864004895
Hancock County,Tennessee,4827,414,8.576755748912369
Hardeman County,Tennessee,18356,2074,11.298757899324471
Hardin County,Tennessee,19517,2879,14.751242506532765
Hawkins County,Tennessee,42150,7075,16.785290628707
Haywood County,Tennessee,12407,1626,13.10550495687918
Henderson County,Tennessee,19421,2788,14.35559445960558
Henry County,Tennessee,23418,4351,18.57972499786489
Hickman County,Tennessee,18044,2449,13.572378630015516
Houston County,Tennessee,5883,805,13.683494815570288
Humphreys County,Tennessee,13539,2223,16.419233325947264
Jackson County,Tennessee,8926,1203,13.477481514676226
Jefferson County,Tennessee,40208,8456,21.030640668523677
Johnson County,Tennessee,13781,2162,15.68826645381322
Knox County,Tennessee,326900,131288,40.161517283572955
Lake County,Tennessee,5137,482,9.382908312244501
Lauderdale County,Tennessee,16951,1851,10.919709751637072
Lawrence County,Tennessee,30208,4682,15.499205508474576
Lewis County,Tennessee,8975,981,10.930362116991644
Lincoln County,Tennessee,24869,4794,19.277011540472074
Loudon County,Tennessee,42439,12118,28.553924456278423
McMinn County,Tennessee,38264,6697,17.502090738030525
McNairy County,Tennessee,18302,2161,11.807452737405749
Macon County,Tennessee,17135,2023,11.80624452874234
Madison County,Tennessee,66635,17292,25.950326405042397
Marion County,Tennessee,20884,3440,16.471940241333076
Marshall County,Tennessee,24086,5056,20.991447313792243
Maury County,Tennessee,73091,19348,26.47111135433911
Meigs County,Tennessee,9504,1136,11.952861952861953
Monroe County,Tennessee,34080,5385,15.801056338028168
Montgomery County,Tennessee,142527,45210,31.720305626302387
Moore County,Tennessee,4768,1176,24.664429530201343
Morgan County,Tennessee,15539,2130,13.707445781581825
Obion County,Tennessee,21523,3887,18.059750034846445
Overton County,Tennessee,16200,2185,13.487654320987655
Perry County,Tennessee,5891,748,12.697334917671025
Pickett County,Tennessee,3804,653,17.16614090431125
Polk County,Tennessee,13026,1911,14.67065868263473
Putnam County,Tennessee,52302,15269,29.193912278689147
Rhea County,Tennessee,23181,4030,17.384927311160002
Roane County,Tennessee,40494,8925,22.040302267002517
Robertson County,Tennessee,50891,10731,21.08624314711835
Rutherford County,Tennessee,223304,76791,34.388546555368464
Scott County,Tennessee,15083,1537,10.1902804481867
Sequatchie County,Tennessee,11889,2246,18.891412229792245
Sevier County,Tennessee,70960,15213,21.438838782412628
Shelby County,Tennessee,606855,207531,34.19779024643449
Smith County,Tennessee,14180,2545,17.947813822284907
Stewart County,Tennessee,9906,1608,16.232586311326468
Sullivan County,Tennessee,117152,31183,26.617556678503142
Sumner County,Tennessee,138609,45222,32.62558708308984
Tipton County,Tennessee,41753,7714,18.475319138744524
Trousdale County,Tennessee,8490,860,10.129564193168433
Unicoi County,Tennessee,13166,2635,20.01367157830776
Union County,Tennessee,14311,2081,14.541261966319613
Van Buren County,Tennessee,4562,638,13.985094256904867
Warren County,Tennessee,28587,4322,15.11876027564977
Washington County,Tennessee,92789,31107,33.52444794102749
Wayne County,Tennessee,12327,1545,12.533463129715258
Weakley County,Tennessee,21122,4565,21.612536691601175
White County,Tennessee,19914,2823,14.175956613437782
Williamson County,Tennessee,167620,103649,61.835699797160245
Wilson County,Tennessee,105888,39413,37.221403747355694
Anderson County,Texas,41749,6069,14.536875134733766
Andrews County,Texas,11099,2214,19.947743039913508
Angelina County,Texas,56893,10248,18.01276079658306
Aransas County,Texas,19209,5307,27.627674527565205
Archer County,Texas,6121,1541,25.1756248978925
Armstrong County,Texas,1289,276,21.411947245927077
Atascosa County,Texas,32188,4914,15.266558966074314
Austin County,Texas,21285,4985,23.42024900164435
Bailey County,Texas,4110,688,16.739659367396595
Bandera County,Texas,16701,4256,25.483503981797494
Bastrop County,Texas,66882,15614,23.345593732244847
Baylor County,Texas,2485,705,28.37022132796781
Bee County,Texas,21495,2461,11.449174226564317
Bell County,Texas,233858,63558,27.17803111289757
Bexar County,Texas,1324701,417806,31.539645550203403
Blanco County,Texas,9252,3177,34.33852140077821
Borden County,Texas,447,158,35.34675615212528
Bosque County,Texas,13436,2785,20.72789520690682
Bowie County,Texas,62393,13771,22.071386213196995
Brazoria County,Texas,251292,80643,32.09135189341483
Brazos County,Texas,126367,53753,42.53721303821409
Brewster County,Texas,7168,3245,45.27064732142857
Briscoe County,Texas,962,183,19.022869022869024
Brooks County,Texas,5159,745,14.440783097499516
Brown County,Texas,26679,5319,19.937029124030136
Burleson County,Texas,13141,3036,23.10326459173579
Burnet County,Texas,36825,10567,28.69517990495587
Caldwell County,Texas,31524,5178,16.425580510087553
Calhoun County,Texas,13932,2354,16.896353718059146
Callahan County,Texas,9804,2341,23.878008975928193
Cameron County,Texas,254070,52232,20.558113905616562
Camp County,Texas,8393,1653,19.694983915167402
Carson County,Texas,3993,1033,25.870272977710997
Cass County,Texas,20190,3553,17.597820703318476
Castro County,Texas,4467,938,20.99843295276472
Chambers County,Texas,31302,7189,22.966583604881478
Cherokee County,Texas,33996,6275,18.45805388869279
Childress County,Texas,4931,566,11.478401946866763
Clay County,Texas,7672,1830,23.852971845672574
Cochran County,Texas,1651,177,10.720775287704422
Coke County,Texas,2451,517,21.09343125254998
Coleman County,Texas,5707,1023,17.92535482740494
Collin County,Texas,740018,406369,54.91339399852436
Collingsworth County,Texas,1720,448,26.046511627906977
Colorado County,Texas,14221,3413,23.999718725828
Comal County,Texas,122914,51887,42.21406837300877
Comanche County,Texas,9637,1925,19.975095984227455
Concho County,Texas,2614,344,13.159908186687069
Cooke County,Texas,28744,6782,23.59448928472029
Coryell County,Texas,53330,9949,18.655540971310707
Cottle County,Texas,936,204,21.794871794871796
Crane County,Texas,2900,416,14.344827586206895
Crockett County,Texas,2209,243,11.000452693526483
Crosby County,Texas,3297,466,14.134061267819229
Culberson County,Texas,1607,262,16.303671437461105
Dallam County,Texas,4396,691,15.718835304822566
Dallas County,Texas,1693339,590082,34.847245589926175
Dawson County,Texas,8037,1163,14.47057359711335
Deaf Smith County,Texas,10769,1273,11.820967592162688
Delta County,Texas,3752,733,19.536247334754798
Denton County,Texas,635931,307742,48.39235703244535
DeWitt County,Texas,13830,2178,15.748373101952279
Dickens County,Texas,1193,228,19.111483654652137
Dimmit County,Texas,5170,571,11.044487427466152
Donley County,Texas,2211,357,16.14654002713704
Duval County,Texas,6542,456,6.970345460103944
Eastland County,Texas,12177,2705,22.214010018888068
Ector County,Texas,98069,16326,16.647462500892228
Edwards County,Texas,922,239,25.92190889370933
Ellis County,Texas,131896,37724,28.60132225389701
El Paso County,Texas,542719,137640,25.36119059771263
Erath County,Texas,25650,8335,32.49512670565302
Falls County,Texas,12157,1818,14.954347289627377
Fannin County,Texas,25860,5215,20.166279969064192
Fayette County,Texas,18150,4929,27.15702479338843
Fisher County,Texas,2727,497,18.225155848918227
Floyd County,Texas,3584,599,16.713169642857142
Foard County,Texas,677,98,14.47562776957164
Fort Bend County,Texas,556652,274384,49.2918376292549
Franklin County,Texas,7427,2177,29.3119698397738
Freestone County,Texas,13942,2215,15.887247166834026
Frio County,Texas,11315,1289,11.391957578435704
Gaines County,Texas,11794,950,8.054943191453281
Galveston County,Texas,240596,82424,34.258258657666794
Garza County,Texas,3748,398,10.618996798292422
Gillespie County,Texas,20328,7183,35.33549783549784
Glasscock County,Texas,780,311,39.871794871794876
Goliad County,Texas,5200,987,18.98076923076923
Gonzales County,Texas,13004,1644,12.642263918794217
Gray County,Texas,13929,2145,15.399526168425586
Grayson County,Texas,94534,22436,23.73325999111431
Gregg County,Texas,80624,18026,22.35810676721572
Grimes County,Texas,20996,4086,19.46084968565441
Guadalupe County,Texas,119682,37009,30.922778696880066
Hale County,Texas,19972,3122,15.631884638493892
Hall County,Texas,2054,366,17.818889970788703
Hamilton County,Texas,5845,1419,24.277159965782722
Hansford County,Texas,3227,981,30.39975209172606
Hardeman County,Texas,2489,374,15.026114905584572
Hardin County,Texas,38683,8033,20.766228058837218
Harris County,Texas,3073858,1037321,33.74654912491078
Harrison County,Texas,46005,10352,22.50190196717748
Hartley County,Texas,4000,923,23.075000000000003
Haskell County,Texas,3907,879,22.498080368569234
Hays County,Texas,159174,66658,41.87744229585233
Hemphill County,Texas,2209,540,24.44545043005885
Henderson County,Texas,59212,11968,20.212119165034114
Hidalgo County,Texas,506571,102969,20.32666694303464
Hill County,Texas,25097,4631,18.452404669880863
Hockley County,Texas,13695,2508,18.313253012048193
Hood County,Texas,46666,15123,32.40689152702181
Hopkins County,Texas,25219,5051,20.028549902851026
Houston County,Texas,16304,2531,15.52379784102061
Howard County,Texas,22763,3492,15.340684444053949
Hudspeth County,Texas,2188,271,12.385740402193784
Hunt County,Texas,69177,15145,21.89311476357749
Hutchinson County,Texas,13401,2138,15.954033281098425
Irion County,Texas,1067,236,22.118088097469542
Jack County,Texas,5873,914,15.562744764175038
Jackson County,Texas,10312,1635,15.855314197051978
Jasper County,Texas,22767,2858,12.553256906926691
Jeff Davis County,Texas,1403,427,30.434782608695656
Jefferson County,Texas,169482,32964,19.449853081743193
Jim Hogg County,Texas,2406,456,18.952618453865338
Jim Wells County,Texas,24708,3750,15.177270519669742
Johnson County,Texas,123479,29069,23.541654856291352
Jones County,Texas,14783,1659,11.222349996617737
Karnes County,Texas,10496,1681,16.015625
Kaufman County,Texas,101359,25641,25.297210903817124
Kendall County,Texas,32551,15989,49.11984270836533
Kenedy County,Texas,47,5,10.638297872340425
Kent County,Texas,565,152,26.902654867256636
Kerr County,Texas,39070,12195,31.213207064243665
Kimble County,Texas,3361,862,25.647128830705146
King County,Texas,154,56,36.36363636363637
Kinney County,Texas,2551,498,19.521756174049393
Kleberg County,Texas,17357,4118,23.72529815060206
Knox County,Texas,2308,360,15.597920277296359
Lamar County,Texas,34339,7068,20.583010571070794
Lamb County,Texas,8091,1153,14.25040168087999
Lampasas County,Texas,15684,3394,21.63988778372864
La Salle County,Texas,4496,364,8.09608540925267
Lavaca County,Texas,14238,2976,20.90181205225453
Lee County,Texas,12604,2357,18.70041256743891
Leon County,Texas,11370,1939,17.05364995602463
Liberty County,Texas,60529,6802,11.23758859389714
Limestone County,Texas,15554,2975,19.126912691269126
Lipscomb County,Texas,1854,471,25.40453074433657
Live Oak County,Texas,8323,1152,13.841163042172294
Llano County,Texas,17478,5778,33.058702368692074
Loving County,Texas,52,0,0.0
Lubbock County,Texas,188789,62913,33.324505135362756
Lynn County,Texas,3708,901,24.29881337648328
McCulloch County,Texas,5377,1054,19.602008554956296
McLennan County,Texas,162133,45027,27.771644267360745
McMullen County,Texas,354,53,14.971751412429379
Madison County,Texas,9138,1328,14.532720507769753
Marion County,Texas,7096,1135,15.994926719278466
Martin County,Texas,3210,571,17.78816199376947
Mason County,Texas,2781,1116,40.1294498381877
Matagorda County,Texas,24076,5482,22.769563050340587
Maverick County,Texas,33346,5111,15.327175673244167
Medina County,Texas,35653,7900,22.158023167755868
Menard County,Texas,1454,333,22.902338376891336
Midland County,Texas,107587,33291,30.943329584429346
Milam County,Texas,17426,3401,19.516813956157467
Mills County,Texas,3450,969,28.086956521739133
Mitchell County,Texas,6085,847,13.91947411668036
Montague County,Texas,14439,2576,17.840570676639654
Montgomery County,Texas,429285,162678,37.89510465075649
Moore County,Texas,12544,1511,12.045599489795919
Morris County,Texas,8238,1280,15.537751881524642
Motley County,Texas,953,210,22.03567681007345
Nacogdoches County,Texas,37917,10050,26.50526149220666
Navarro County,Texas,34132,5827,17.07195593577874
Newton County,Texas,8828,550,6.230176710466697
Nolan County,Texas,9584,1315,13.720784641068448
Nueces County,Texas,233756,55365,23.684953541299475
Ochiltree County,Texas,5964,1134,19.014084507042252
Oldham County,Texas,1247,315,25.260625501202888
Orange County,Texas,56615,10074,17.793870882275016
Palo Pinto County,Texas,19902,3717,18.676514923123307
Panola County,Texas,15452,2762,17.874708775563033
Parker County,Texas,107052,33809,31.581848073833278
Parmer County,Texas,6170,1030,16.693679092382496
Pecos County,Texas,10136,1360,13.417521704814522
Polk County,Texas,37405,5015,13.40729848950675
Potter County,Texas,74650,12941,17.33556597454789
Presidio County,Texas,3753,758,20.197175592859047
Rains County,Texas,9408,2367,25.159438775510207
Randall County,Texas,95260,30533,32.052277976065504
Reagan County,Texas,1789,305,17.04863051984349
Real County,Texas,1943,372,19.14565105506948
Red River County,Texas,8550,1337,15.637426900584794
Reeves County,Texas,8368,575,6.871414913957935
Refugio County,Texas,4702,649,13.802637175669927
Roberts County,Texas,522,115,22.03065134099617
Robertson County,Texas,11594,2218,19.130584785233744
Rockwall County,Texas,76396,33593,43.972197497251166
Runnels County,Texas,6845,1305,19.065010956902846
Rusk County,Texas,36248,6474,17.860295740454646
Sabine County,Texas,7746,1381,17.8285566744126
San Augustine County,Texas,5782,666,11.518505707367693
San Jacinto County,Texas,19644,3108,15.821624923640806
San Patricio County,Texas,45542,7852,17.241227877563567
San Saba County,Texas,4112,891,21.66828793774319
Schleicher County,Texas,1698,411,24.204946996466433
Scurry County,Texas,10893,1948,17.883044156797943
Shackelford County,Texas,2202,762,34.60490463215259
Shelby County,Texas,15736,2161,13.732841891204881
Sherman County,Texas,1588,407,25.629722921914354
Smith County,Texas,157478,43686,27.741017792961557
Somervell County,Texas,6783,1694,24.974200206398347
