county_name,state_name,total_population,bachelor_degree_or_higher,percent_bachelor_degree_or_higher
Nassau County,New York,972012,473504,48.713801887219496
New York County,New York,1260428,806709,64.00278318158594
Niagara County,New York,152414,41401,27.163515162649098
Oneida County,New York,159069,44142,27.750221601946322
Onondaga County,New York,324756,123843,38.134168421830545
Ontario County,New York,80554,29943,37.17133848101894
Orange County,New York,258632,83389,32.24233660181262
Orleans County,New York,29153,5102,17.50077179021027
Oswego County,New York,80313,17608,21.92422148344602
Otsego County,New York,39250,13287,33.85222929936306
Putnam County,New York,71149,30981,43.5438305527836
Queens County,New York,1698073,598760,35.26114601669069
Rensselaer County,New York,113425,42276,37.27220630372493
Richmond County,New York,345412,123573,35.775537618843586
Rockland County,New York,208594,87859,42.119619931541656
St. Lawrence County,New York,71189,17541,24.640042703226623
Saratoga County,New York,172398,75452,43.76616898107867
Schenectady County,New York,109935,38542,35.05889843998726
Schoharie County,New York,21561,5393,25.012754510458702
Schuyler County,New York,13239,3358,25.364453508573153
Seneca County,New York,23906,5770,24.13620011712541
Steuben County,New York,66196,17225,26.021209740769834
Suffolk County,New York,1070338,426656,39.861800664836714
Sullivan County,New York,55761,16553,29.68562256774448
Tioga County,New York,34590,8855,25.599884359641518
Tompkins County,New York,61514,36447,59.24992684592125
Ulster County,New York,134325,49768,37.050437372045415
Warren County,New York,49426,17109,34.61538461538461
Washington County,New York,45248,9606,21.229667609618105
Wayne County,New York,65372,16691,25.532338004038422
Westchester County,New York,697202,366101,52.51003296031853
Wyoming County,New York,29652,5406,18.231485228652367
Yates County,New York,16698,4179,25.026949335249732
Alamance County,North Carolina,117453,32545,27.708955922794647
Alexander County,North Carolina,26398,4067,15.40647018713539
Alleghany County,North Carolina,8618,1967,22.82432118821072
Anson County,North Carolina,15630,1701,10.882917466410749
Ashe County,North Carolina,20626,4622,22.408610491612528
Avery County,North Carolina,13505,2954,21.873380229544615
Beaufort County,North Carolina,32814,6755,20.585725604924725
Bertie County,North Carolina,13268,2368,17.84745251733494
Bladen County,North Carolina,21094,4339,20.569830283492937
Brunswick County,North Carolina,117336,38981,33.22168814345128
Buncombe County,North Carolina,202143,90206,44.62484478809556
Burke County,North Carolina,64613,13033,20.170863448532028
Cabarrus County,North Carolina,153644,57865,37.66173752310536
Caldwell County,North Carolina,58407,10855,18.58510110089544
Camden County,North Carolina,7422,1912,25.761250336836433
Carteret County,North Carolina,52589,17006,32.33756108691932
Caswell County,North Carolina,16619,2667,16.04789698537818
Catawba County,North Carolina,113077,28194,24.93345242622284
Chatham County,North Carolina,57701,27697,48.000901197552906
Cherokee County,North Carolina,22779,5514,24.206505992361386
Chowan County,North Carolina,10497,2574,24.52129179765647
Clay County,North Carolina,8843,2778,31.414678276602963
Cleveland County,North Carolina,69170,14575,21.0712736735579
Columbus County,North Carolina,35724,5382,15.065502183406112
Craven County,North Carolina,68761,17897,26.027835546312588
Cumberland County,North Carolina,209827,57051,27.189541860675696
Currituck County,North Carolina,21289,6235,29.28742543097374
Dare County,North Carolina,28503,12202,42.80952882152756
Davidson County,North Carolina,120730,25018,20.722272840221983
Davie County,North Carolina,31091,8323,26.769804766652726
Duplin County,North Carolina,33151,5801,17.49871798739103
Durham County,North Carolina,228405,122294,53.54261071342571
Edgecombe County,North Carolina,33892,5669,16.72666115897557
Forsyth County,North Carolina,259909,95835,36.872520766883795
Franklin County,North Carolina,50324,12276,24.39392735076703
Gaston County,North Carolina,160932,41791,25.96811075485298
Gates County,North Carolina,7554,815,10.788985967699233
Graham County,North Carolina,5779,968,16.750302820557188
Granville County,North Carolina,43795,10526,24.03470715835141
Greene County,North Carolina,14557,1779,12.220924641066153
Guilford County,North Carolina,359349,136918,38.10167831272663
Halifax County,North Carolina,34495,5332,15.457312654007826
Harnett County,North Carolina,90001,21531,23.92306752147198
Haywood County,North Carolina,47259,13895,29.401807063204892
Henderson County,North Carolina,87598,30713,35.06130276946962
Hertford County,North Carolina,14260,2388,16.746143057503506
Hoke County,North Carolina,34406,7334,21.316049526245422
Hyde County,North Carolina,3674,504,13.718018508437671
Iredell County,North Carolina,133520,44504,33.331336129418816
Jackson County,North Carolina,28020,8408,30.007137758743756
Johnston County,North Carolina,151489,41857,27.630389005142288
Jones County,North Carolina,6896,1231,17.85092807424594
Lee County,North Carolina,43796,9466,21.613846013334552
Lenoir County,North Carolina,38149,6032,15.811685758473354
Lincoln County,North Carolina,65172,17614,27.02694408641748
McDowell County,North Carolina,32688,5739,17.55690161527166
Macon County,North Carolina,28214,6930,24.562274048344793
Madison County,North Carolina,15745,4955,31.4703080342966
Martin County,North Carolina,15882,2406,15.149225538345295
Mecklenburg County,North Carolina,766897,372777,48.608483277415345
Mitchell County,North Carolina,11175,2581,23.09619686800895
Montgomery County,North Carolina,18631,3597,19.306532123879556
Moore County,North Carolina,74008,30279,40.91314452491622
Nash County,North Carolina,66560,14459,21.72325721153846
New Hanover County,North Carolina,161126,72131,44.76682844481958
Northampton County,North Carolina,13012,2478,19.043959422071936
Onslow County,North Carolina,113066,29462,26.057347036244316
Orange County,North Carolina,93289,57674,61.82293732380023
Pamlico County,North Carolina,9820,2492,25.376782077393074
Pasquotank County,North Carolina,27998,7519,26.855489677834132
Pender County,North Carolina,44629,13311,29.825897958726387
Perquimans County,North Carolina,9762,1992,20.405654578979718
Person County,North Carolina,28000,5553,19.832142857142856
Pitt County,North Carolina,106434,36045,33.86605783866058
Polk County,North Carolina,15566,5122,32.905049466786586
Randolph County,North Carolina,100816,17774,17.630138073321692
Richmond County,North Carolina,29068,4705,16.186184119994497
Robeson County,North Carolina,75244,10955,14.559300409334963
Rockingham County,North Carolina,66238,10683,16.128204353996196
Rowan County,North Carolina,102418,22042,21.52160752992638
Rutherford County,North Carolina,47065,9735,20.684160203973228
